smiles,exp_mean [nM],y,cliff_mol,split
Brc1ccc(Cn2cc(CNC34CC5CC(CC(C5)C3)C4)nn2)cc1,26.0,-1.414973347970818,0,train
C#CCCOC(=O)[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,6760.0,-3.829946695941636,0,train
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,149.0,-2.173186268412274,0,test
C#CCN(Cc1ccc(O)c2ncccc12)C(C#N)CCC1CCN(Cc2ccccc2)CC1,1210.0,-3.0827853703164503,0,test
C#CCN(Cc1ccc2cccc(O)c2n1)C(C#N)CCC1CCN(Cc2ccccc2)CC1,15.0,-1.1760912590556813,0,train
C#CCN1CCc2nc3nc(N4CCCC4)c(C#N)cc3c(N)c2C1,65.0,-1.8129133566428555,0,train
C#CCNC(=O)[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)C[C@@H](OC(C)=O)[C@H](OC(C)=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,8140.0,-3.910624404889201,0,train
C/C(=C\C(=O)N(C)[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)C([C@H](C)N(C)C)=CC[C@@H]32)C1)C(C)C,10700.0,-4.02938377768521,0,train
C/C(=C\C(=O)N(C)[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)N(C)C)CC[C@@H]32)C1)C(C)C,4100.0,-3.6127838567197355,0,train
C/C(=C\C(=O)N[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)N(C)C)CC[C@@H]32)C1)C(C)C,9050.0,-3.9566485792052033,0,train
C/C=C(\C)C(=O)N[C@@H]1[C@H](OC(C)=O)[C@@H]2CC[C@H]3C4=CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]3[C@@]2(C)C[C@@H]1O,134000.0,-5.127104798364807,0,train
C/C=C(\C)C(=O)N[C@H]1CC[C@@]2(C)C(=CC[C@H]3C4=CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]32)C1=O,2650.0,-3.423245873936808,0,train
C/C=C(\C)C(=O)N[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]32)C1=O,5400.0,-3.7323937598229686,0,test
C/C=C1\C2C=C(C)CC1(N)c1ccc(=O)[nH]c1C2,4300000.0,-6.633468455579586,0,train
C1=Cc2nc1c(-c1ccccc1)c1ccc([nH]1)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3ccc([nH]3)c2-c2ccccc2)C=C1,5390.0,-3.7315887651867388,0,train
C1=Nc2sc3c(c2C2=NCCCN12)CCCC3,1920.0,-3.2833012287035497,0,train
C1=Nc2sc3c(c2C2=NCCCN12)CCN(Cc1ccccc1)C3,1500.0,-3.1760912590556813,0,train
C1=Nc2sc3c(c2C2=NCCN12)CCCC3,1320.0,-3.12057393120585,0,train
C1=Nc2sc3c(c2C2=NCCN12)CCN(Cc1ccccc1)C3,2360.0,-3.3729120029701067,0,train
C=C(C)[C@@H]1CC[C@]2(C)[C@H](CC[C@@H]3[C@H]4[C@H]5OC[C@@]4(CCC5(C)C)CC[C@]32C)[C@@]1(C)CCC(=O)O,31780.0,-4.502153892871361,0,train
C=CCCCCC1=NC(CCCCCCCCC)CC1,5000.0,-3.6989700043360187,0,train
C=CCCCCC1CCC(CCCCCCCCC)N1,1500.0,-3.1760912590556813,0,train
C=CCCCCCCCC1=NC(CCCCC=C)CC1,13000.0,-4.113943352306837,0,train
C=CCCCCCCCC1CCC(CCCCC=C)N1,2500.0,-3.3979400086720375,0,train
C=CCCOC(=O)C[C@]1(C)[C@H]2CC[C@@H]3[C@H]4[C@H]5OC[C@@]4(CCC5(C)C)CC[C@@]3(C)[C@]2(C)CC[C@H]1C(C)(C)C(=O)OCC=C,3390.0,-3.530199698203082,0,train
C=CCCOC(=O)[C@@]1(C)CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,14870.0,-4.172310968521955,0,test
C=CCCOC(=O)[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,3310.0,-3.519827993775719,1,train
C=CCN(CCCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2,0.085,1.0705810742857071,1,test
C=CCN(CCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2,1.6,-0.2041199826559248,1,train
C=CCN1C(=O)/C(=C2/Sc3ccccc3N2CC)SC1=S,6410.0,-3.8068580295188172,0,test
CC(=NNC(=O)Nc1ccncc1)c1ccc(O)cc1,246.0,-2.3909351071033793,0,train
