smiles,exp_mean [nM],y,cliff_mol,split
CN(C)CCOc1ccc(-c2ccc(Cl)cc2)c(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCCCN5CCCC5)c([N+](=O)[O-])c4)c(Oc4ccccc4)c3)CC2)c1,0.001,3.0,1,test
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(OCC5(F)CCOCC5)c([N+](=O)[O-])c4)c(Oc4cccc5[nH]cnc45)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.002,2.6989700043360187,1,train
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(OCC5CCN(C(CF)CF)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.002,2.6989700043360187,1,test
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CN(CC(F)F)CCO5)c([N+](=O)[O-])c4)c(Oc4cccc5[nH]cnc45)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.002,2.6989700043360187,1,train
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4cnc(OCC5CCOCC5)c(Cl)c4)c(Oc4cccc5[nH]ncc45)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.002,2.6989700043360187,1,train
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cccc5[nH]cnc45)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.003,2.5228787452803374,1,test
CN(C)CCOc1ccc(-c2ccc(Cl)cc2)c(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cccc5[nH]ccc45)c3)CC2)c1,0.003,2.5228787452803374,1,train
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CN(C6CC6)CCO5)c([N+](=O)[O-])c4)c(Oc4cccc5[nH]ncc45)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.003,2.5228787452803374,1,train
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@@H]5CCN(CC#N)C5)c([N+](=O)[O-])c4)c(Oc4cccc5[nH]cnc45)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.003,2.5228787452803374,1,train
COCCOCCN1CCO[C@H](CNc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCN(CC5=C(c6ccc(Cl)cc6)CC(C)(C)CC5)CC4)cc3Oc3cccc4[nH]cnc34)cc2[N+](=O)[O-])C1,0.004,2.3979400086720375,1,train
CN1CCC(Nc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCN(CC5=C(c6ccc(Cl)cc6)CC(C)(C)CC5)CC4)cc3Oc3cccc4[nH]cnc34)cc2[N+](=O)[O-])CC1,0.004,2.3979400086720375,1,train
CN(C)CCOc1ccc(-c2ccc(Cl)cc2)c(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC5CCN(C)CC5)c([N+](=O)[O-])c4)c(Oc4cccc(Cl)c4)c3)CC2)c1,0.005,2.3010299956639813,1,train
COC1CCC(CNc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCN(CC5=C(c6ccc(Cl)cc6)CC(C)(C)CC5)CC4)cc3Oc3cnc(N)c(Cl)c3)cc2[N+](=O)[O-])CC1,0.005,2.3010299956639813,1,train
CN(C)CCOc1cccc(-c2ccc(Cl)cc2)c1CN1CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC4CCN(C)CC4)c([N+](=O)[O-])c3)c(Oc3cccc4[nH]ccc34)c2)CC1,0.005,2.3010299956639813,1,train
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4cnc(NC5CCN(C6CC6)CC5)c(Cl)c4)c(Oc4cccc5[nH]ncc45)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.005,2.3010299956639813,1,train
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4cnc(OCC5CCOCC5)c(Br)c4)c(Oc4cccc5[nH]ccc45)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.006,2.221848749616356,1,train
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4cnc(OCC5CCC(F)(F)CC5)c(Cl)c4)c(Oc4cccc5[nH]cnc45)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.007,2.154901959985743,1,train
