smiles,exp_mean [nM],y,cliff_mol,split
Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12,5800.0,-3.7634279935629373,0,train
O=C1Nc2ccccc2-c2ccnc3[nH]cc(c23)C1c1ccc(O)cc1,190.0,-2.278753600952829,0,test
CC(C)(C)c1ccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)cc1,27.0,-1.4313637641589874,0,train
CN(C)c1ccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)cc1,46.0,-1.662757831681574,0,train
O=C(Nc1cc(-c2ccncc2)c[nH]c1=O)c1ccc(N2CCCCC2)cc1,12.0,-1.0791812460476249,0,train
CNc1cc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)ccn1,12.0,-1.0791812460476249,1,train
CNc1cc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)ncn1,83.0,-1.919078092376074,0,train
CNc1cccc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)c1,81.0,-1.9084850188786497,0,train
CNc1cccc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)n1,148.0,-2.1702617153949575,1,train
CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)n1,155.0,-2.1903316981702914,1,train
CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)c1,270.0,-2.4313637641589874,1,test
CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)n1,200.0,-2.3010299956639813,0,train
CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)c1,1300.0,-3.113943352306837,0,train
CNc1cc(F)cc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)c1,400.0,-2.6020599913279625,0,train
CNc1cc(C#N)cc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)c1,400.0,-2.6020599913279625,0,train
COc1ccccc1Nc1nc(N)n(-c2ccccn2)n1,12.0,-1.0791812460476249,0,train
COc1ccc(N2CCOCC2)cc1Nc1nc(N)n(-c2ccccn2)n1,60.0,-1.7781512503836436,0,train
Nc1nc(Nc2cc(N3CCOCC3)ccc2F)nn1-c1ccccn1,37.0,-1.568201724066995,0,train
COc1cc(N2CCOCC2)ccc1Nc1nc(N)n(-c2ccc(C#N)cn2)n1,205.0,-2.311753861055754,0,test
COc1ccccc1Nc1nc(N)n(-c2cc(NCCN(C)C)ncn2)n1,270.0,-2.4313637641589874,0,train
Nc1nc(Nc2ccc(N3CCOCC3)cc2)nn1-c1ccccn1,18.0,-1.255272505103306,0,train
Nc1nc(Nc2ccc(C(=O)NCCN3CCOCC3)cc2)nn1-c1ccccn1,38.0,-1.5797835966168101,0,test
Nc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2)nn1-c1ccccn1,21.0,-1.3222192947339193,0,train
Nc1nc(Nc2cccc(C(=O)N3CCOCC3)c2)nn1-c1ccccn1,10.0,-1.0,0,train
CC(=O)Nc1ccc(Nc2nc(N)n(-c3ccccn3)n2)cc1,240.0,-2.380211241711606,0,train
CC(=O)Nc1cccc(Nc2nc(N)n(-c3ccccn3)n2)c1,180.0,-2.255272505103306,0,train
COc1ccc(Nc2nc(N)n(-c3ccccn3)n2)cc1OC,9.0,-0.9542425094393249,0,train
CNC(=O)C(C)n1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5ccc(C)cc5)cc4)csc23)cn1,7.943,-0.899984562549391,0,test
COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,3162.28,-3.5000003213429354,0,test
CCc1ccc2nccc(NC(=O)Nc3cccc(C(F)(F)F)n3)c2c1,199.53,-2.300008202553813,0,train
COc1ccc(OC)c(CNC(=O)c2cc(N)c(C#N)c(OC(C)C)n2)c1,1000.0,-3.0,0,train
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CCNS(C)(=O)=O)cnc(N)c34)cc2)c1,19.95,-1.299942900022767,0,train
COc1ccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(CCO)c5)cnc(N)c34)cc2)cc1,1.585,-0.2000292665537703,0,train
Nc1ncnc2scc(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)c12,39.81,-1.599992177584098,1,test
Nc1n[nH]c2cccc(-c3ccc(NC(=O)Nc4cccc(Cl)c4)c(F)c3)c12,0.7943,0.100015437450609,0,train
Cc1ccc(-c2cc3c(NCCN)ccc(C(N)=O)c3[nH]2)cc1,398.11,-2.60000308662774,0,train
Cc1ccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(C(C)C(=O)N(C)C)c5)cnc(N)c34)cc2)cc1,79.43,-1.899984562549391,0,train
CNC(=O)COc1ccc(Nc2nc(Nc3ccc(C)c(S(N)(=O)=O)c3)ncc2F)cc1,1258.93,-3.100001582801352,0,train
COC(=O)c1c(-c2ccc(NC(=O)Nc3ccccc3)cc2)c2c(N)ncnn2c1C,1000.0,-3.0,0,train
O=C1CCCN1Cc1ccc2c(c1)[nH]c(=O)c1cccn12,1258.93,-3.100001582801352,0,train
Cn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5ccc(OC(F)F)cc5)cc4)csc23)cn1,10.0,-1.0,0,train
Cc1n[nH]c2cccc(-c3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)c12,398.11,-2.60000308662774,1,test
Cc1c(-c2cccc(OCc3ccccc3)c2)c2c(N)ncnc2n1C1CC(CN2CCCC2)C1,501.19,-2.7000023971422538,0,train
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CCN5CCCC5)cnc(N)c34)cc2)c1,15.85,-1.2000292665537702,1,train
Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,39.81,-1.599992177584098,0,train
Cc1c(-c2cccc(OCc3ccccc3)c2)c2c(N)ncnc2n1C1CCC(N2CCCC2)CC1,158.49,-2.200001865406602,0,train
c1ccc(-c2c[nH]c3ncnc(N4CCCCC4)c23)cc1,1000.0,-3.0,0,train
O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1,316.23,-2.500003068051693,0,train
CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,1584.89,-3.1999991251967965,0,test
Cc1c[nH]c2nccc(Oc3c(F)cc(Nc4cc(Cl)nc(N)n4)cc3F)c12,316.23,-2.500003068051693,0,train
CCOc1ccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(C)c5)cnc(N)c34)cc2)cc1,7.943,-0.899984562549391,0,train
CN(C(=O)C1CCCCC1)c1ccc2c(c1)nc(NC(=O)c1ccc(C#N)cc1)n2CCC(N)=O,1000.0,-3.0,0,train
CNC(=O)C=Cc1cnc(N)c2c(-c3cc(F)c4[nH]c(C)cc4c3)csc12,316.23,-2.500003068051693,0,train
O=C(Nc1cnc2[nH]cc(-c3ccccc3)c2c1)c1c(F)cccc1F,630.96,-2.800001827817969,0,train
CNC(=O)c1cnc(N)c2c(-c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)csc12,5.012,-0.7000110623221123,0,train
Nc1n[nH]c2cc(-c3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)ccc12,25.12,-1.4000196350651586,1,train
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CCCCCCCCCN)cnc(N)c34)cc2)c1,501.19,-2.7000023971422538,1,train
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(C)c5)cnc(N)c34)cc2)c1,1.0,-0.0,1,train
Cc1cc(NC(=O)Nc2ccc(-c3c(F)ccc4[nH]nc(N)c34)cc2)ccc1F,0.7943,0.100015437450609,0,train
O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCCC4=O)c3)n2)c1,794.33,-2.9000009651534695,0,train
CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,158.49,-2.200001865406602,0,train
CCN(CC)CCNC(=O)C=Cc1cnc(N)c2c(-c3ccc(NC(=O)Nc4cccc(C)c4)cc3)csc12,25.12,-1.4000196350651586,0,train
O=C1NCc2c1cccc2-c1ccc(Nc2nc3ccccc3o2)cc1,398.11,-2.60000308662774,0,test
Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2C1CC(CN2CCCC2)C1,1000.0,-3.0,0,train
Cc1cccc(NC(=O)Nc2ccc(-c3cnc4c(-c5cnn(C)c5)cnn4c3N)cc2)c1,5.012,-0.7000110623221123,0,test
Nc1n[nH]c2cccc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,0.2512,0.5999803649348415,1,test
Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1,501.19,-2.7000023971422538,0,train
Cc1cccc(NC(=O)Nc2ccc(-c3csc4ccnc(N)c34)cc2)c1,251.19,-2.400002345927956,0,test
Nc1ncnc2c1N=C(c1ccc(NC(=O)Nc3cc(C(F)(F)F)ccc3F)cc1)CCN2,199.53,-2.300008202553813,1,train
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CCN)cnc(N)c34)cc2)c1,79.43,-1.899984562549391,0,train
CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,19.95,-1.299942900022767,0,test
Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cncc4c3c(N)nn4C)cc2)c1,0.3162,0.5000381344038097,1,train
Cn1nc(N)c2c(-c3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)cncc21,39.81,-1.599992177584098,1,train
Nc1n[nH]c2cccc(-c3ccc(NC(=O)Nc4ccccc4)cc3)c12,1258.93,-3.100001582801352,1,train
Cc1nc(N)sc1-c1ccnc(Nc2ccc(N3CCOCC3)cc2)n1,398.11,-2.60000308662774,0,train
Oc1c2ccccc2c2c3c(cccc13)N=N2,1258.93,-3.100001582801352,0,train
c1ccc(CNc2cc(-c3c[nH]c4ncccc34)ncn2)cc1,1000.0,-3.0,0,test
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#Cc5cccnc5)cnc(N)c34)cc2)c1,10.0,-1.0,0,test
Cc1ccc(F)c(NC(=O)Nc2ccc(-c3c(F)ccc4[nH]nc(N)c34)cc2)c1,1.0,-0.0,0,train
CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,251.19,-2.400002345927956,0,train
O=C1NN=Cc2c[nH]c3cc(NC(=O)C4CC4c4ccccc4)cc1c23,501.19,-2.7000023971422538,0,train
Cc1cccc(NC(=O)Nc2ccc(-c3coc4ncnc(N)c34)cc2)c1,125.89,-2.0999912335446846,0,train
