smiles,exp_mean [nM],y,cliff_mol,split
Cn1c(-c2nonc2N)nc2ccccc21,540.0,-2.7323937598229686,1,train
CCn1c(-c2nonc2N)nc2ccccc21,50.0,-1.6989700043360187,1,test
CC(C)n1c(-c2nonc2N)nc2ccccc21,40.0,-1.6020599913279623,0,train
Nc1nonc1-c1nc2ccccc2n1C1CC1,95.0,-1.9777236052888478,1,train
Nc1nonc1-c1nc2ccccc2n1C1CCC1,4.0,-0.6020599913279624,1,train
Nc1nonc1-c1nc2ccccc2n1C1CCCC1,13.0,-1.1139433523068367,0,train
Nc1nonc1-c1nc2ccccc2n1C1CCCCC1,12.0,-1.0791812460476249,0,train
Nc1nonc1-c1nc2ccccc2n1CC1CC1,12.0,-1.0791812460476249,0,train
Nc1nonc1-c1nc2ccccc2n1CC1CCC1,69.0,-1.8388490907372552,1,train
CC(C)Cn1c(-c2nonc2N)nc2ccccc21,22.0,-1.3424226808222062,0,train
Nc1nonc1-c1nc2ccccc2n1-c1ccccc1,110.0,-2.041392685158225,1,train
N#Cc1ccccc1-n1c(-c2nonc2N)nc2ccccc21,26.0,-1.414973347970818,0,train
N#Cc1cccc(-n2c(-c3nonc3N)nc3ccccc32)c1,800.0,-2.9030899869919438,0,test
N#Cc1ccc(-n2c(-c3nonc3N)nc3ccccc32)cc1,800.0,-2.9030899869919438,0,test
COc1ccccc1-n1c(-c2nonc2N)nc2ccccc21,31.0,-1.4913616938342726,0,train
COc1cccc(-n2c(-c3nonc3N)nc3ccccc32)c1,1900.0,-3.278753600952829,0,train
COc1ccc(-n2c(-c3nonc3N)nc3ccccc32)cc1,550.0,-2.7403626894942437,0,test
COc1ccc2c(c1)nc(-c1nonc1N)n2C1CCC1,39.0,-1.591064607026499,0,train
COC(=O)c1ccc2c(c1)nc(-c1nonc1N)n2C1CCC1,410.0,-2.6127838567197355,0,train
CC(=O)Nc1ccc2c(c1)nc(-c1nonc1N)n2C1CCC1,2200.0,-3.342422680822206,0,train
Cc1ccc2c(c1)nc(-c1nonc1N)n2C1CCC1,19.0,-1.2787536009528289,0,test
Nc1nonc1-c1nc2cc(CO)ccc2n1C1CCC1,16.0,-1.2041199826559248,0,train
CC(C)Cn1cc(-c2ccccc2)nc1-c1nonc1N,89.0,-1.9493900066449128,0,train
Cc1cn(CC(C)C)c(-c2nonc2N)n1,340.0,-2.531478917042255,0,train
CC(C)Cn1cc(C#N)nc1-c1nonc1N,1600.0,-3.2041199826559246,0,train
COc1ccc(CNc2c(Nc3ccncc3)c(=O)c2=O)c(OC)c1,1995.26,-3.2999994961169836,0,train
Nc1ncnc2onc(-c3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)c12,125.89,-2.0999912335446846,0,train
N#CCOc1ccc(Nc2nc(Nc3cccc(S(N)(=O)=O)c3)ncc2Br)cc1,100.0,-2.0,0,test
CCCn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1,316.23,-2.500003068051693,0,test
c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1,12589.25,-4.099999857942367,0,train
Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,199.53,-2.300008202553813,0,train
c1ccc(Cn2cc(-c3ccc4[nH]ncc4c3)nn2)cc1,50.12,-1.7000110623221123,1,test
CC(=O)Nc1c(C(N)=O)sc2ccc(Cl)c(Cl)c12,5011.87,-3.6999997975545824,0,train
Cc1cccc(NC(=O)Nc2ccc(-c3csc4nc(N)nc(N)c34)cc2)c1,5011.87,-3.6999997975545824,1,train
