BindingDB_ID,smiles,value,standard_type
50154801,NCCc1c[nH]c2ccc(cc12)C(N)=O,0.029,Ki (nM)
1423530,NCCc1cc2cc(ccc2[nH]1)C(N)=O,0.03,Ki (nM)
154129,COc1cc2c(cc1OC)nc(nc2N)N3CCN(CC3)C(=O)c4ccco4,0.1,Ki (nM)
50102327,Fc1ccc(cc1Cl)S(=O)(=O)NCCCCN1CCN(CC1)c1noc2ccccc12,0.1,Ki (nM)
178473,NCCc1c[nH]c2ccc(O)cc12,0.1,Ki (nM)
1170878,CCN(CCCN1CCN(CC1)c1noc2cc(F)ccc12)S(=O)(=O)C(C)CO,0.1,Ki (nM)
1423532,O=C(CCCCCN1CCN(CC1)c1ccccc1-c1ccccc1)NCc1ccc(cc1)C#N,0.11,Ki (nM)
162651,c1cc2c(cc1C(=O)N)c(c[nH]2)CCN,0.12,Ki (nM)
51157928,NCCc1c[nH]c2ccc(cc12)C(N)=O,0.120226,Ki (nM)
174131,c1cc2c(cc1C(=O)N)c(c[nH]2)CCN,0.13,Ki (nM)
50923260,NCCc1c[nH]c2ccc(O)cc12,0.13,Ki (nM)
178472,NCCc1c[nH]c2ccc(O)cc12,0.13,Ki (nM)
38655,O=C(CCCCCN1CCN(CC1)c1ccccc1-c1ccccc1)NC1CCCc2ccccc12,0.13,Ki (nM)
162649,c1cc2c(cc1C(=O)N)c(c[nH]2)CCN,0.15,Ki (nM)
51463191,CN1CCc2c(C1)c1cc(C)ccc1n2CCc1ccccc1,0.153,Ki (nM)
51064018,CN1CCc2c(C1)c1cc(C)ccc1n2CCc1ccccc1,0.153,Ki (nM)
170498,c1cc2c(cc1C(=O)N)c(c[nH]2)CCN,0.16,Ki (nM)
51463764,Fc1ccccc1S(=O)(=O)N1CCC[C@@H]1CCCN1CCN(CC1)c1ccccn1,0.17,Ki (nM)
50701698,NCCc1c[nH]c2ccc(O)cc12,0.17,Ki (nM)
1423476,Fc1ccc(cc1)C(=O)C1CCN(CCCCn2c3ccccc3[nH]c2=O)CC1,0.2,Ki (nM)
174129,c1cc2c(cc1C(=O)N)c(c[nH]2)CCN,0.2,Ki (nM)
50276119,C[C@H](Nc1ccnc(NCCOc2ccc(F)cc2)c1)c1ccccc1,0.2,Ki (nM)
50102389,Cc1c(sc2ccc(F)cc12)S(=O)(=O)NCCCCN1CCC(CC1)c1noc2cc(F)ccc12,0.2,Ki (nM)
174187,c1cc2c(cc1C(=O)N)c(c[nH]2)CCN,0.2,Ki (nM)
50290814,CSc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc23)CC1,0.22,Ki (nM)
51463762,Fc1ccccc1S(=O)(=O)N1CCC[C@@H]1CCCN1CCN(CC1)c1ccc(Cl)cc1,0.22,Ki (nM)
50081679,CSc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc23)CC1,0.22,Ki (nM)
50289673,CSc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc23)CC1,0.22,Ki (nM)
51060428,CSc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc23)CC1,0.22,Ki (nM)
50473241,CSc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc23)CC1,0.22,Ki (nM)
160238,c1cc2c(cc1C(=O)N)c(c[nH]2)CCN,0.22,Ki (nM)
50310689,CSc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc23)CC1,0.22,Ki (nM)
38639,CSc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc23)CC1,0.22,Ki (nM)
160240,NCCc1c[nH]c2ccc(O)cc12,0.25,Ki (nM)
174133,NCCc1c[nH]c2ccc(O)cc12,0.25,Ki (nM)
178475,COc1ccc2c(c1)c(c[nH]2)CCN,0.25,Ki (nM)
51157918,CN(C)[C@H]1CCc2c(C1)cccc2-c1cccc2ccccc12,0.251189,Ki (nM)
