smiles,exp_mean,exp_std,exp_sem,no.entries,no.outliers,standard_types,bindingdb_id
NCCc1c[nH]c2ccc(C(N)=O)cc12,0.7347609696969697,1.1465090151212913,0.19958160188439011,33,0,Ki (nM),160237;160238;162645;162646;162647;162648;162649;162650;162651;163297;170497;170498;170687;172860;174129;174130;174131;174186;174187;174867;38664;50154801;50224040;50289732;50387109;50433183;50812826;50963770;51060508;51155827;51157902;51157928;51397915
NCCc1cc2cc(C(N)=O)ccc2[nH]1,0.03,0.0,0.0,1,0,Ki (nM),1423530
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,0.1,0.0,0.0,1,0,Ki (nM),154129
O=S(=O)(NCCCCN1CCN(c2noc3ccccc23)CC1)c1ccc(F)c(Cl)c1,0.1,0.0,0.0,1,0,Ki (nM),50102327
NCCc1c[nH]c2ccc(O)cc12,3.6464039024390242,4.519004208097652,0.7057498871690515,41,0,Ki (nM),159682;160239;160240;162652;162653;162654;162655;162656;162657;162658;163298;170499;170500;170647;170688;174132;174133;174134;174135;174188;174189;174868;178035;178472;178473;50096612;50102143;50204561;50311085;50387093;50534649;50701698;50812847;50812849;50923260;51157897;51157913;51249149;51315522;51315539;51452685
CCN(CCCN1CCN(c2noc3cc(F)ccc23)CC1)S(=O)(=O)C(C)CO,0.1,0.0,0.0,1,0,Ki (nM),1170878
N#Cc1ccc(CNC(=O)CCCCCN2CCN(c3ccccc3-c3ccccc3)CC2)cc1,5.334444444444444,6.836076053005052,2.2786920176683507,9,0,Ki (nM),1423532;50081699;50433120;50520277;50958805;50963754;50963755;51205648;51205660
O=C(CCCCCN1CCN(c2ccccc2-c2ccccc2)CC1)NC1CCCc2ccccc21,0.13,0.0,0.0,1,0,Ki (nM),38655
Cc1ccc2c(c1)c1c(n2CCc2ccccc2)CCN(C)C1,0.153,0.0,0.0,2,0,Ki (nM),51064018;51463191
O=S(=O)(c1ccccc1F)N1CCC[C@@H]1CCCN1CCN(c2ccccn2)CC1,0.17,0.0,0.0,1,0,Ki (nM),51463764
O=C(c1ccc(F)cc1)C1CCN(CCCCn2c(=O)[nH]c3ccccc32)CC1,0.2,0.0,0.0,1,0,Ki (nM),1423476
C[C@H](Nc1ccnc(NCCOc2ccc(F)cc2)c1)c1ccccc1,0.2,0.0,0.0,1,0,Ki (nM),50276119
Cc1c(S(=O)(=O)NCCCCN2CCC(c3noc4cc(F)ccc34)CC2)sc2ccc(F)cc12,0.2,0.0,0.0,1,0,Ki (nM),50102389
CSc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1,0.22,0.0,0.0,8,1,Ki (nM),38639;50081679;50289673;50290814;50310689;50473241;51060428
O=S(=O)(c1ccccc1F)N1CCC[C@@H]1CCCN1CCN(c2ccc(Cl)cc2)CC1,0.22,0.0,0.0,1,0,Ki (nM),51463762
COc1ccc2[nH]cc(CCN)c2c1,1.908402347826087,1.843764745452479,0.3844515255571153,23,0,Ki (nM),159683;160243;160244;162659;162660;162661;162662;162663;163299;170501;170502;170648;174136;174137;174138;174139;174190;174869;178474;178475;50812794;51157921;51249150
CN(C)[C@H]1CCc2c(cccc2-c2cccc3ccccc23)C1,2.7255945,2.4744055,1.7496689084552897,2,0,Ki (nM),51157918;51337067
Fc1ccc2[nH]cc(CCN3CCN(c4ccccc4-c4ccccc4)CC3)c2c1,0.26,0.0,0.0,1,0,Ki (nM),51133680
C[C@H](Nc1ccnc(NCCc2ccccc2)c1)c1ccccc1,0.3,0.0,0.0,1,0,Ki (nM),50276127
C[C@H](Nc1ccnc(NCCOc2ccc(F)cc2)n1)c1ccccc1,0.3,0.0,0.0,1,0,Ki (nM),50276146
CC(C)c1ccccc1OCCN1CCC(NS(=O)(=O)c2ccc(F)cc2)CC1,0.3,0.0,0.0,1,0,Ki (nM),50958852
CCCN(CCC)[C@H]1CCc2c(cccc2-c2cccc3ccccc23)C1,0.3,0.0,0.0,1,0,Ki (nM),50551628
COc1ccc(S(=O)(=O)N2CCc3ccc(I)cc32)cc1N1CCNCC1,0.316228,0.0,0.0,1,0,Ki (nM),50985013
O=S(=O)(c1ccc(F)cc1)N1CCC[C@@H]1CCCN1CCN(c2ccc(Cl)cc2)CC1,0.32,0.0,0.0,1,0,Ki (nM),51463763
CC1CCN(CC[C@H]2CCCN2S(=O)(=O)c2cccc(O)c2)CC1,1.9444042580645156,5.503817151310492,0.9885147417612649,31,0,Ki (nM),180433;50076008;50177155;50211378;50284485;50290386;50290816;50302223;50468120;50468121;50525058;50525059;50534701;50551014;50586757;50617353;50703485;50812881;50884996;50958807;51060509;51070656;51072706;51158043;51158066;51228707;51249185;51315551;51315563;51418991;51418992
COc1cc(Cl)c(C)c2c1N=C(N)NC2C,2.5,0.0,0.0,1,0,Ki (nM),50854591
CCN(CCN1CCC(c2noc3cc(F)ccc23)CC1)C(=O)[C@@H](C)O,2.5,0.0,0.0,1,0,Ki (nM),1170716
CN1CCN(C2Cc3ccccc3Sc3ccc(Cl)cc32)CC1,1.3966666666666665,0.8722512380170189,0.5035944870701102,4,1,Ki (nM),160286;161667;161668
COc1cccc(OC)c1-c1cccc2c1CC[C@H](N(C)C)C2,2.55,0.0,0.0,2,0,Ki (nM),50276402;50276413
CCC1(CCCCN2CCN(c3cccc(OC)c3)CC2)C(=O)Nc2ccccc21,2.55,0.0,0.0,1,0,Ki (nM),50866737
COc1cccc(OC)c1-c1cccc2c1OC[C@H](N(C)C)C2,3.92,1.37,0.9687362902255701,2,0,Ki (nM),50276429;50551640
COc1ccccc1N1CCN(CCC[C@H]2CCCN2S(=O)(=O)c2ccc(F)cc2)CC1,2.6,0.0,0.0,1,0,Ki (nM),51463761
CC[C@@H](O)C(=O)N(CC)CCN1CCC(c2noc3cc(F)ccc23)CC1,2.6,0.0,0.0,1,0,Ki (nM),1170800
Fc1cccc(-c2ccc(F)cc2N2CCN(CCCc3c[nH]c4ccc(F)cc34)CC2)c1,2.6,0.0,0.0,1,0,Ki (nM),51133662
COc1ccc(-c2ccccc2N2CCNCC2)cc1,2.6,0.0,0.0,3,0,Ki (nM),50963782;51197504;51249177
Cc1c(S(=O)(=O)NCCCCN2CCN(c3noc4ccccc34)CC2)sc2ccc(F)cc12,2.6,0.0,0.0,1,0,Ki (nM),50102341
COc1cccc(N2CCN(CCCCC3C(=O)Nc4ccccc43)CC2)c1,2.6,0.0,0.0,1,0,Ki (nM),51463771
CCN(CCCN1CCC(c2noc3ccccc23)CC1)S(=O)(=O)C(C)CO,2.6,0.0,0.0,1,0,Ki (nM),1170875
CSc1ccccc1N1CCN(CCCc2c[nH]c3ccc(F)cc23)CC1,2.7,0.0,0.0,1,0,Ki (nM),51605891
O=C1COc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,2.7,0.0,0.0,2,0,Ki (nM),1434571;832792
CCN(CCN1CCC(c2noc3cc(F)ccc23)CC1)C(=O)CC(C)O,2.7,0.0,0.0,1,0,Ki (nM),1170743
CCCN(CCC)[C@H]1COc2c(cccc2-c2ccccc2OC)C1,2.7,0.0,0.0,1,0,Ki (nM),50276423
CCN(CCN1CCC(c2c[nH]c3cc(F)ccc23)CC1)C(=O)CCO,2.7,0.0,0.0,1,0,Ki (nM),1170857
O=C1Cc2ccccc2N1CC/C=C/CCN1CC[C@H]2CCCC[C@@H]2C1,2.7,0.0,0.0,1,0,Ki (nM),50286421
CN1CC[C@H]2c3ccccc3N(c3ccccc3)C[C@]21C,2.7,0.0,0.0,1,0,Ki (nM),51224289
Fc1ccc(-c2ccccc2N2CCNCC2)cc1,2.7,0.0,0.0,1,0,Ki (nM),50963751
CCN(CCN1CCC(c2c[nH]c3cc(F)ccc23)CC1)S(=O)(=O)CCO,2.8,0.0,0.0,1,0,Ki (nM),1170899
O=S(=O)(N[C@@H]1CCN(CCCc2noc3ccccc23)C1)c1cccc(Cl)c1,2.8,0.0,0.0,1,0,Ki (nM),51364364
COc1ccccc1-c1cc(C2CCNC2)ccc1Cl,2.8,0.0,0.0,2,0,Ki (nM),51442084;51442100
O=C1c2ccccc2CCCN1CCN1CCC(n2ccc3ccccc32)CC1,2.8,0.0,0.0,1,0,Ki (nM),50593451
O=c1sc2ccccc2n1CCCCN1CCc2ccccc2C1,2.8,0.0,0.0,1,0,Ki (nM),50290774
CCC1(CCCCN2CCN(c3ccc(Cl)cc3)CC2)C(=O)Nc2ccc(F)cc21,2.8049999999999997,0.0050000000000001155,0.003535533905932819,2,0,Ki (nM),50663753;50866725
CNCCc1ccc(Cl)c(-c2ccccc2OC)c1,2.8099999999999996,0.010000000000000009,0.007071067811865481,2,0,Ki (nM),51442077;51442093
COc1ccccc1N1CCN(CCCCCCn2c(=O)sc3ccccc32)CC1,2.9,0.0,0.0,1,0,Ki (nM),50290766
CN(CCCN1CCN(c2cccc3ccccc23)CC1)c1cccc(O)c1,2.9,0.0,0.0,1,0,Ki (nM),50096587
CCCN(CCC)[C@H]1CCc2c(cccc2-c2ccccc2)C1,3.145,0.23499999999999988,0.16617009357883858,3,1,Ki (nM),50276417;50551627
CCCN(CCC)[C@H]1COc2c(cccc2-c2ccccc2)C1,3.15,0.22999999999999998,0.1626345596729059,2,0,Ki (nM),50276435;50551626
O=C(CCCCCN1CCN(c2noc3ccccc23)CC1)c1ccccc1O,2.93,0.0,0.0,1,0,Ki (nM),50224018
CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,2.9040000000000004,1.688390949987591,0.7550713873535403,6,1,Ki (nM),160288;162728;162729;170573;170574
CCN(CC)C(=O)N[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,2.8340000000000005,2.4483390288111653,0.7742327815327894,11,1,Ki (nM),160270;162691;162692;162693;170543;170544;170665;174155;174156;174157
Brc1ccc2ccn(CCN3CCCN4CCCCC4C3)c2c1,3.0,0.0,0.0,2,0,Ki (nM),50211389;50812974
COc1ccccc1N1CCN(CC(O)CN2C(=O)NC(C)(c3ccc(F)cc3)C2=O)CC1,3.0,0.0,0.0,2,0,Ki (nM),50082454;51249162
C[C@H](Nc1ncnc(NCCOc2ccccc2)n1)c1ccccc1,3.0,0.0,0.0,1,0,Ki (nM),50276090
COc1ccccc1N1CCN([C@H]2CC[C@H](N3C(=O)CCC3=O)CC2)CC1,11500.0,0.0,0.0,1,0,Ki (nM),50286047
O=S(=O)(c1cccc(N2CCNCC2)c1)n1cccc1-c1cccc(F)c1,11530.0,0.0,0.0,1,0,Ki (nM),51606515
CCC(Oc1cc(F)ccc1F)c1nc(N)nc(N2CCN(C)CC2)n1,11530.0,0.0,0.0,1,0,Ki (nM),51616675
COc1cccc(-c2cccn2S(=O)(=O)c2cccc(N3CCNCC3)c2)c1,11630.0,0.0,0.0,1,0,Ki (nM),51606516
CC(Oc1cc(Cl)ccc1F)c1nc(N)nc(N2CCN(C)CC2)n1,11900.0,0.0,0.0,1,0,Ki (nM),51616676
CC(C)c1nc2c(N3CCNCC3)ccnc2n1Cc1cccc(F)c1,11920.0,0.0,0.0,1,0,Ki (nM),51024657
Cc1ccc(C(C)C)c(OCc2nc(N)nc(N3CCN(C)CC3)n2)c1,11950.0,0.0,0.0,2,0,Ki (nM),51264580;51506476
Brc1ccc2c(c1)c1c3n2CCN(Cc2ccccc2)C3CCC1,12250.0,0.0,0.0,1,0,Ki (nM),50305826
O=S(=O)(c1cccc(N2CCNCC2)c1)n1cccc1-c1ccccc1,12280.0,0.0,0.0,1,0,Ki (nM),51606514
CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21,12300.0,0.0,0.0,1,0,Ki (nM),51351062
CCc1nc2c(N3CCNCC3)ccnc2n1Cc1cccc(F)c1,12340.0,0.0,0.0,1,0,Ki (nM),51024655
CCCC(Oc1cc(Cl)ccc1Cl)c1nc(N)nc(N2CCN(C)CC2)n1,12470.0,0.0,0.0,2,0,Ki (nM),51410648;51614665
Cc1ccc(C(C)NCCC(c2ccc(F)cc2)c2ccco2)cc1,12500.0,0.0,0.0,1,0,Ki (nM),51100508
CC(Oc1cccc(Cl)c1Cl)c1nc(N)nc(N2CCN(C)CC2)n1,12550.0,0.0,0.0,1,0,Ki (nM),51410641
CCC(Oc1cc(Cl)cc(Cl)c1)c1nc(Nc2ccncc2)nc(N2CCN(C)CC2)n1,12570.0,0.0,0.0,1,0,Ki (nM),51616693
O=S(=O)(Nc1ccn(Cc2cccc3ccccc23)n1)c1ccc(Br)s1,12590.0,0.0,0.0,1,0,Ki (nM),50305817
Cc1ccc(S(=O)(=O)c2cnc3ccc(F)cc3c2SCc2ccc(Cl)cc2)cc1,12710.0,0.0,0.0,1,0,Ki (nM),50305835
Nc1c(S(=O)(=O)c2ccccc2)sc2nc(-c3ccccc3)cc(-c3ccccc3)c12,13020.0,0.0,0.0,1,0,Ki (nM),50305824
COCCn1c(C)c(C)c(S(=O)(=O)c2ccc(Cl)cc2)c1N,13100.0,0.0,0.0,1,0,Ki (nM),50305836
CCCC(Oc1cccc(Cl)c1Cl)c1nc(N)nc(N2CCN(C)CC2)n1,13420.0,0.0,0.0,2,0,Ki (nM),51410643;51614667
COc1ccc2c(=O)c3cc(CN4CCN(Cc5ccccc5)CC4)ccc3oc2c1,13500.0,0.0,0.0,1,0,Ki (nM),51196219
Oc1ccc(-c2ccc(CNCCc3c[nH]c4ncc(F)cc34)o2)cc1,13750.0,0.0,0.0,1,0,Ki (nM),51230288
Cn1c(=O)c2c([nH]c(=O)n2CCCN2CCN(c3ccccc3)CC2)n(C)c1=O,13940.0,0.0,0.0,1,0,Ki (nM),50846014
c1cnc2c(c1)ccn2CCN1CCCN2CCCCC2C1,14000.0,0.0,0.0,1,0,Ki (nM),406514
COc1ccc(CNCCC(c2ccccc2)c2ccc3c(c2)OCO3)cc1,14100.0,0.0,0.0,1,0,Ki (nM),51100506
O=S(=O)(c1ccccc1)c1cnc2c(N3CCNCC3)cccc2c1,14230.0,0.0,0.0,2,0,Ki (nM),51024659;51392662
CC(Oc1cc(Cl)ccc1Cl)c1nc(N)nc(N2CCN(C)CC2)n1,15050.0,0.0,0.0,2,0,Ki (nM),51410646;51614657
CCC(Oc1cc(Cl)ccc1F)c1nc(N)nc(N2CCN(C)CC2)n1,15120.0,0.0,0.0,1,0,Ki (nM),51616677
Cc1cc(Cl)ccc1OCc1nc(N)nc(N2CCN(C)CC2)n1,15180.0,0.0,0.0,1,0,Ki (nM),51264604
CCS(=O)(=O)c1nc(S(=O)(=O)c2ccc(Cl)cc2)c(N2CCc3ccccc3C2)s1,15770.0,0.0,0.0,1,0,Ki (nM),50305832
O=S(=O)(c1ccc(F)cc1)N1CC=c2ccccc2=C1c1c[nH]c2ccccc12,16020.0,0.0,0.0,1,0,Ki (nM),50305823
Cc1ccc(OCc2nc(N)nc(N3CCN(C)CC3)n2)cc1,16050.0,0.0,0.0,1,0,Ki (nM),51264618
CCC(Oc1cc(Cl)cc(Cl)c1)c1nc(Nc2ccccc2)nc(N2CCN(C)CC2)n1,16150.0,0.0,0.0,1,0,Ki (nM),51616692
Cn1c(=O)c2c([nH]c(=O)n2CCCN2CCc3ccccc3C2)n(C)c1=O,16480.0,0.0,0.0,1,0,Ki (nM),50845981
CN1CCN(c2nc(N)nc(Cc3c[nH]c4ccccc34)n2)CC1,16790.0,0.0,0.0,1,0,Ki (nM),51506475
COc1ccc2c(=O)c3cc(CN4CCN(C)CC4)ccc3oc2c1,16950.0,0.0,0.0,1,0,Ki (nM),51196230
CC(Oc1cc(C(F)(F)F)ccc1F)c1nc(N)nc(N2CCN(C)CC2)n1,17100.0,0.0,0.0,1,0,Ki (nM),51616679
O=c1c2ccc(Cl)cc2oc2c(CN3CCN(CCO)CC3)cccc12,17420.0,0.0,0.0,1,0,Ki (nM),51196233
O=C1c2cccc3cccc(c23)N1CCCCCCN1CCN(c2ccccc2C(F)(F)F)CC1,17780.0,0.0,0.0,1,0,Ki (nM),51282047
O=S(=O)(Nc1ccccc1-c1nccc2ccccc12)c1ccc(Cl)cc1,17890.0,0.0,0.0,1,0,Ki (nM),50305828
O=C1Nc2ccc(Cl)cc2C1(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,18080.0,0.0,0.0,1,0,Ki (nM),50305820
CCC(Oc1cc(C(F)(F)F)ccc1C(F)(F)F)c1nc(N)nc(N2CCN(C)CC2)n1,18120.0,0.0,0.0,1,0,Ki (nM),51616684
CCC(Oc1cc(C(F)(F)F)ccc1F)c1nc(N)nc(N2CCN(C)CC2)n1,18790.0,0.0,0.0,1,0,Ki (nM),51616680
CCCC(Oc1cc(Cl)cc(Cl)c1)c1nc(N)nc(N2CCN(C)CC2)n1,19850.0,0.0,0.0,2,0,Ki (nM),51410656;51614666
CCC(Oc1ccccc1)c1nc(N)nc(N2CCN(C)CC2)n1,19940.0,0.0,0.0,2,0,Ki (nM),51410640;51614660
CC(Oc1cc(C(F)(F)F)ccc1C(F)(F)F)c1nc(N)nc(N2CCN(C)CC2)n1,20000.0,0.0,0.0,1,0,Ki (nM),51616683
O=S(=O)(Nc1cc2c(c3ccccc13)OC1(N3CCOCC3)CCCCC21)c1ccccc1,20090.0,0.0,0.0,1,0,Ki (nM),50305822
Cc1ccc(Cl)cc1N(C)C(=O)c1cn(-c2ccc(F)cc2F)c(=O)c2ccccc12,21400.0,0.0,0.0,1,0,Ki (nM),50305837
CC(Oc1cc(F)ccc1F)c1nc(N)nc(N2CCN(C)CC2)n1,21720.0,0.0,0.0,1,0,Ki (nM),51616674
NC(=O)N1CCN(c2cccc(Cl)c2)CC1,22820.0,0.0,0.0,1,0,Ki (nM),51501139
Clc1ccccc1Cn1cc(-c2ccccc2)c2c1CCNC2,22887.0,0.0,0.0,1,0,Ki (nM),50617369
O=c1[nH]c2ccccc2n1CCN1CCCN2CCCCC2C1,23600.0,0.0,0.0,1,0,Ki (nM),406517
CC(N)Cc1c[nH]c2ccc3c(c12)CCCO3,24000.0,0.0,0.0,1,0,Ki (nM),50814598
CC(Oc1cccc(F)c1F)c1nc(N)nc(N2CCN(C)CC2)n1,24040.0,0.0,0.0,1,0,Ki (nM),51616687
COC(=O)N1CCc2ccc(/N=C/N3CCc4cc(OC)c(OC)cc4C3)cc21,25000.0,0.0,0.0,1,0,Ki (nM),50376780
O=S(=O)(Nc1cc(Sc2cccc3cccnc23)c(O)c2ccccc12)c1ccccc1,25390.0,0.0,0.0,1,0,Ki (nM),50305819
O=c1ccc(-c2ccc(S(=O)(=O)Nc3cccc4c3CCCC4)s2)n[nH]1,26290.0,0.0,0.0,1,0,Ki (nM),50305830
COc1cccc(-n2cc(C(=O)N(C)c3cccc(Cl)c3)c3ccccc3c2=O)c1,26650.0,0.0,0.0,1,0,Ki (nM),50305831
CC(Oc1cc(F)ccc1C(F)(F)F)c1nc(N)nc(N2CCN(C)CC2)n1,29570.0,0.0,0.0,1,0,Ki (nM),51616681
CCCCC(Oc1cc(Cl)cc(Cl)c1)c1nc(Nc2ccccc2)nc(N2CCN(C)CC2)n1,33590.0,0.0,0.0,1,0,Ki (nM),51616694
CCCCSC1CCc2ccc(/N=C/N3CCc4cc(OC)c(OC)cc4C3)cc21,36000.0,0.0,0.0,1,0,Ki (nM),50376709
CCC1(C)CC(CCNCc2ccc(OC)c(OC)c2)(c2ccc(C)cc2)CCO1,37200.0,0.0,0.0,1,0,Ki (nM),51100515
CC(Oc1ccccc1Cl)c1nc(N)nc(N2CCN(C)CC2)n1,38730.0,0.0,0.0,3,0,Ki (nM),51264584;51410639;51506477
CCC(Oc1cc(F)ccc1OC)c1nc(N)nc(N2CCN(C)CC2)n1,44990.0,0.0,0.0,1,0,Ki (nM),51616686
O=C1c2cccc3cccc(c23)N1CCCCCCN1CCN(c2ccc(C(F)(F)F)cc2)CC1,48960.0,0.0,0.0,1,0,Ki (nM),51282116
CC(Sc1cc(Cl)ccc1Cl)c1nc(N)nc(N2CCN(C)CC2)n1,60950.0,0.0,0.0,1,0,Ki (nM),51614671
COc1ccc(-c2nc(CN3CCN(c4ccccc4Cl)CC3)cs2)cc1OC,64850.0,0.0,0.0,1,0,Ki (nM),51602998
O[C@H](CCN1CCc2onc(-c3ccc(F)c(F)c3)c2C1)c1ccccc1,71200.0,0.0,0.0,1,0,Ki (nM),51100480
O=C(NC1CCNCC1)c1ccn(S(=O)(=O)c2cccc(Cl)c2)c1-c1cccc(F)c1,83960.0,0.0,0.0,1,0,Ki (nM),51606517
O=C1N(Cc2ccccc2)C(c2ccccc2)=NC1(Nc1ccccn1)C(F)(F)F,84500.0,0.0,0.0,1,0,Ki (nM),51100512
CN(C)CCN1C(=O)c2ccccc2/C=C\c2ccccc21,85200.0,0.0,0.0,1,0,Ki (nM),51351063
c1ccc(C2NCCc3c2[nH]c2ccccc32)cc1,97000.0,0.0,0.0,1,0,Ki (nM),50376724
CN1CCN(c2nc(N)nc(CS(=O)(=O)c3ccccc3Cl)n2)CC1,98430.0,0.0,0.0,1,0,Ki (nM),51264587
CC([C@@H](C)CCN1CCC[C@H](C)C1)S(=O)(=O)c1cccc2ccccc12,100000.0,0.0,0.0,1,0,Ki (nM),51158085
COc1ccc(F)cc1OC(C)c1nc(N)nc(N2CCN(C)CC2)n1,107900.0,0.0,0.0,1,0,Ki (nM),51616685
COc1ccc(N2CCN(CCCCCCN3C(=O)c4cccc5cccc(c45)C3=O)CC2)cc1,116500.0,0.0,0.0,1,0,Ki (nM),51281992
O=c1n(Cc2ccc(CN3CCN(c4ccc(Cl)cc4)CC3)cc2)nc2ccccn12,201400.0,0.0,0.0,1,0,Ki (nM),51501133
Oc1ccc2c(c1O)C[C@@H](c1ccccc1)[C@@H]1CCNC[C@@H]21,220000.0,0.0,0.0,1,0,Ki (nM),50594069
O=S(=O)(NCCCCN1CCc2sccc2C1)c1cnc2ccccc2c1,506829.0,0.0,0.0,1,0,Ki (nM),50703473
O=S(=O)(c1cccc2cnccc12)N1CCC[C@@H]1CCN1CCN(c2cccc3sccc23)CC1,3.0,0.0,0.0,1,0,Ki (nM),51126951
O=c1sc2ccccc2n1CCCCCCN1CCN(c2ccccc2)CC1,3.0,0.0,0.0,1,0,Ki (nM),50290768
Clc1ccc(-c2nn(Cc3ccccc3)c3c2CCNCC3)cc1,5.166666666666667,1.5456030825826172,0.8923543557893895,4,1,Ki (nM),51060420;51357443;51505662
CCOc1ccccc1N1CCN(CCCCCn2cnc3sc(C)c(C)c3c2=O)CC1,2.0,1.0,0.7071067811865475,2,0,Ki (nM),50302222;51605898
Cc1cccc(S(=O)(=O)N2CCC[C@@H]2CCN2CCC(C)CC2)c1,3.1371428571428566,0.08778452283278418,0.033179430910859745,7,0,Ki (nM),180429;50284486;50812882;50984873;51060426;51158091;51249166
FC(F)(F)c1ccc(COc2ccc(Br)cc2CC2CNC2)o1,3.0,0.0,0.0,1,0,Ki (nM),792441
O=S(=O)(c1cncc2ccccc12)N1CCC[C@@H]1CCN1CCN(c2nsc3ccccc23)CC1,3.0,0.0,0.0,1,0,Ki (nM),51126869
CC(Nc1nc(N)nc(NCCOc2ccccc2)n1)c1ccccc1,5.5,2.5,1.7677669529663687,2,0,Ki (nM),50276078;51249170
C[C@H](Nc1nc(N)nc(NCCOc2ccccc2)n1)c1ccccc1,3.0,0.0,0.0,1,0,Ki (nM),50276098
C[C@H](Nc1cc(NCCc2ccccc2)ccn1)c1ccccc1,3.0,0.0,0.0,1,0,Ki (nM),50276128
CC(C)(C)N1CC(Oc2cc(Br)ccc2OCc2cccc(F)c2)C1,3.0,0.0,0.0,1,0,Ki (nM),792435
CCO[C@@]1(CC)c2cccc3c2-c2c1ccc1c2[C@@H](C3)N(C)CC1,3.05,0.0,0.0,1,0,Ki (nM),50154803
O=c1[nH]c2ccccc2n1CCCCCN1CCN(c2ccc(F)cc2)CC1,1.9449999999999998,1.145,0.8096372644585969,2,0,Ki (nM),1423478;1423492
Oc1cccc(CCCCN2CCN(c3ccccc3)CC2)c1,3.1,0.0,0.0,1,0,Ki (nM),50096611
CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,3.7103832903225817,7.938327713951301,1.425765746651741,31,0,Ki (nM),159686;160277;160278;162709;162710;162711;162712;162713;163310;170559;170560;170695;174167;174168;174169;174198;174199;174876;178040;180764;389890;50102193;50812814;50812911;50816790;51119281;51248972;51249151;51364347;51449156;51526340
O=C1Nc2cccc3c2C1(CCCCN1CCN(c2ccccc2)CC1)CCC3,3.25,0.04999999999999982,0.02499999999999991,5,1,Ki (nM),50984863;51153312;51155792;51158094
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,3.136,3.182973033711303,0.8218401033994117,16,1,Ki (nM),161690;172869;173525;175522;175523;178042;178484;178485;185366;50300500;50437863;50812801;51126941;51163722;854094
O=S(=O)(NCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1cnc2ccccn12,3.2,0.0,0.0,1,0,Ki (nM),50102391
CCN(CCN1CCC(c2noc3cc(F)ccc23)CC1)C(=O)[C@H]1CC[C@@H](O)CC1,3.2,0.0,0.0,1,0,Ki (nM),1170845
NCCCC1(CCCN)CCc2cccc(O)c2C1,3.2,0.0,0.0,1,0,Ki (nM),51157891
O=S(=O)(NCCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1ccc2cc(Cl)ccc2c1,3.2,0.0,0.0,1,0,Ki (nM),50102380
OC(CN1CCN(c2ccccc2)CC1)c1ccc(Cl)c(Cl)c1,3.2,0.0,0.0,1,0,Ki (nM),51108603
O=S(=O)(NCCCCN1CCN(c2nsc3ccccc23)CC1)c1cccs1,3.2,0.0,0.0,1,0,Ki (nM),50102286
O=S(=O)(c1ccc2cc[nH]c2c1)N1CCC[C@@H]1CCN1CCC(Oc2ccc(Cl)cc2)CC1,1.9975,0.004330127018922197,0.0021650635094610984,5,1,Ki (nM),50294436;50586784;50812970;51037335
Fc1ccc(N2CCN(CCCc3c[nH]c4ccc(F)cc34)CC2)c(-c2ccccc2)c1,3.3,0.0,0.0,1,0,Ki (nM),51133695
O=C1Nc2cccc3c2C1(CCCCN1CC=C(c2ccccc2)CC1)CCC3,2.190909090909091,0.35279287112604096,0.10637105293066229,12,1,Ki (nM),50078713;50211386;50290815;50588350;50812830;51037320;51060511;51153309;51155758;51158103;51249191
O=C1NC2C=CC=C3CCCC1(CCCCN1CCN(c4ccccc4)CC1)C32,3.3,0.0,0.0,1,0,Ki (nM),51228714
NC(N)=NC(=O)c1ccc2c(c1)[C@]1(CCCO1)c1ccccc1-2,3.3,0.0,0.0,1,0,Ki (nM),51210369
O=C1Nc2cccc3c2[C@]1(CCCCN1CC=C(c2ccccc2)CC1)CCC3,3.31,0.0,0.0,1,0,Ki (nM),50177130
