BindingDB_ID,smiles,value,standard_type,CuratedSmiles,IsSalt,FailedSanit,Neutralized
50154801,NCCc1c[nH]c2ccc(cc12)C(N)=O,0.029,Ki (nM),NCCc1c[nH]c2ccc(C(N)=O)cc12,False,False,False
1423530,NCCc1cc2cc(ccc2[nH]1)C(N)=O,0.03,Ki (nM),NCCc1cc2cc(C(N)=O)ccc2[nH]1,False,False,False
154129,COc1cc2c(cc1OC)nc(nc2N)N3CCN(CC3)C(=O)c4ccco4,0.1,Ki (nM),COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,False,False,False
50102327,Fc1ccc(cc1Cl)S(=O)(=O)NCCCCN1CCN(CC1)c1noc2ccccc12,0.1,Ki (nM),O=S(=O)(NCCCCN1CCN(c2noc3ccccc23)CC1)c1ccc(F)c(Cl)c1,False,False,False
178473,NCCc1c[nH]c2ccc(O)cc12,0.1,Ki (nM),NCCc1c[nH]c2ccc(O)cc12,False,False,False
1170878,CCN(CCCN1CCN(CC1)c1noc2cc(F)ccc12)S(=O)(=O)C(C)CO,0.1,Ki (nM),CCN(CCCN1CCN(c2noc3cc(F)ccc23)CC1)S(=O)(=O)C(C)CO,False,False,False
1423532,O=C(CCCCCN1CCN(CC1)c1ccccc1-c1ccccc1)NCc1ccc(cc1)C#N,0.11,Ki (nM),N#Cc1ccc(CNC(=O)CCCCCN2CCN(c3ccccc3-c3ccccc3)CC2)cc1,False,False,False
162651,c1cc2c(cc1C(=O)N)c(c[nH]2)CCN,0.12,Ki (nM),NCCc1c[nH]c2ccc(C(N)=O)cc12,False,False,False
51157928,NCCc1c[nH]c2ccc(cc12)C(N)=O,0.120226,Ki (nM),NCCc1c[nH]c2ccc(C(N)=O)cc12,False,False,False
174131,c1cc2c(cc1C(=O)N)c(c[nH]2)CCN,0.13,Ki (nM),NCCc1c[nH]c2ccc(C(N)=O)cc12,False,False,False
50923260,NCCc1c[nH]c2ccc(O)cc12,0.13,Ki (nM),NCCc1c[nH]c2ccc(O)cc12,False,False,False
178472,NCCc1c[nH]c2ccc(O)cc12,0.13,Ki (nM),NCCc1c[nH]c2ccc(O)cc12,False,False,False
38655,O=C(CCCCCN1CCN(CC1)c1ccccc1-c1ccccc1)NC1CCCc2ccccc12,0.13,Ki (nM),O=C(CCCCCN1CCN(c2ccccc2-c2ccccc2)CC1)NC1CCCc2ccccc21,False,False,False
162649,c1cc2c(cc1C(=O)N)c(c[nH]2)CCN,0.15,Ki (nM),NCCc1c[nH]c2ccc(C(N)=O)cc12,False,False,False
51463191,CN1CCc2c(C1)c1cc(C)ccc1n2CCc1ccccc1,0.153,Ki (nM),Cc1ccc2c(c1)c1c(n2CCc2ccccc2)CCN(C)C1,False,False,False
51064018,CN1CCc2c(C1)c1cc(C)ccc1n2CCc1ccccc1,0.153,Ki (nM),Cc1ccc2c(c1)c1c(n2CCc2ccccc2)CCN(C)C1,False,False,False
170498,c1cc2c(cc1C(=O)N)c(c[nH]2)CCN,0.16,Ki (nM),NCCc1c[nH]c2ccc(C(N)=O)cc12,False,False,False
51463764,Fc1ccccc1S(=O)(=O)N1CCC[C@@H]1CCCN1CCN(CC1)c1ccccn1,0.17,Ki (nM),O=S(=O)(c1ccccc1F)N1CCC[C@@H]1CCCN1CCN(c2ccccn2)CC1,False,False,False
