BindingDB_ID,smiles,value,standard_type
50531621,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\Cc1cc(O)cc(Sc2ccccc2C(O)=O)c1O,0.00059,Ki (nM)
50002018,CC(C)(C)c1cccc(c1)C(=O)C(F)(F)F,0.0037,Ki (nM)
50352562,COc1ccc(cc1OC)C(C)NS(N)(=O)=O,0.005,Ki (nM)
50352536,COc1ccc(cc1)C(C)NS(=O)(=O)NC(=O)OCc1ccccc1,0.005,Ki (nM)
50352538,COc1ccc(cc1OC)C(C)NS(=O)(=O)NC(=O)OCc1ccccc1,0.005,Ki (nM)
50352552,COc1ccc(OC)c(c1)C(C)NS(N)(=O)=O,0.006,Ki (nM)
50352539,COc1ccccc1C(C)NS(=O)(=O)NC(=O)OCc1ccccc1,0.006,Ki (nM)
50352559,COc1ccc(cc1)C(C)NS(N)(=O)=O,0.006,Ki (nM)
50352556,COc1cccc(OC)c1C(C)NS(N)(=O)=O,0.008,Ki (nM)
50002017,CC(C)c1cccc(c1)C(=O)C(F)(F)F,0.0085,Ki (nM)
50352564,COc1cccc(OC)c1C(C)NS(=O)(=O)NC(=O)OCc1ccccc1,0.011,Ki (nM)
50077151,CN(CCCCNc1c2CCCCc2nc2ccccc12)CCCNc1c2CCCCc2nc2ccccc12,0.012,Ki (nM)
50871617,CN(CCCCNc1c2CCCCc2nc2ccccc12)CCCNc1c2CCCCc2nc2ccccc12,0.012,Ki (nM)
50871609,C[N+](C)(C)c1cccc(c1)C(=O)C(F)(F)F,0.015,Ki (nM)
50352569,COc1ccc(OC)c(c1)C(C)NS(=O)(=O)NC(=O)OCc1ccccc1,0.023,Ki (nM)
248227,CCC1=C[C@@H]2Cc3c(c(c4ccc(cc4n3)Cl)N)[C@@H](C2)C1,0.026,Ki (nM)
17713,CCC1=C[C@@H]2Cc3c(c(c4ccc(cc4n3)Cl)N)[C@@H](C2)C1,0.026,Ki (nM)
