BindingDB_ID,smiles,value,standard_type,CuratedSmiles,IsSalt,FailedSanit
50531621,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\Cc1cc(O)cc(Sc2ccccc2C(O)=O)c1O,0.00059,Ki (nM),CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(O)cc(Sc2ccccc2C(=O)O)c1O,False,False
50002018,CC(C)(C)c1cccc(c1)C(=O)C(F)(F)F,0.0037,Ki (nM),CC(C)(C)c1cccc(C(=O)C(F)(F)F)c1,False,False
50352562,COc1ccc(cc1OC)C(C)NS(N)(=O)=O,0.005,Ki (nM),COc1ccc(C(C)NS(N)(=O)=O)cc1OC,False,False
50352536,COc1ccc(cc1)C(C)NS(=O)(=O)NC(=O)OCc1ccccc1,0.005,Ki (nM),COc1ccc(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)cc1,False,False
50352538,COc1ccc(cc1OC)C(C)NS(=O)(=O)NC(=O)OCc1ccccc1,0.005,Ki (nM),COc1ccc(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)cc1OC,False,False
50352552,COc1ccc(OC)c(c1)C(C)NS(N)(=O)=O,0.006,Ki (nM),COc1ccc(OC)c(C(C)NS(N)(=O)=O)c1,False,False
50352539,COc1ccccc1C(C)NS(=O)(=O)NC(=O)OCc1ccccc1,0.006,Ki (nM),COc1ccccc1C(C)NS(=O)(=O)NC(=O)OCc1ccccc1,False,False
50352559,COc1ccc(cc1)C(C)NS(N)(=O)=O,0.006,Ki (nM),COc1ccc(C(C)NS(N)(=O)=O)cc1,False,False
50352556,COc1cccc(OC)c1C(C)NS(N)(=O)=O,0.008,Ki (nM),COc1cccc(OC)c1C(C)NS(N)(=O)=O,False,False
50002017,CC(C)c1cccc(c1)C(=O)C(F)(F)F,0.0085,Ki (nM),CC(C)c1cccc(C(=O)C(F)(F)F)c1,False,False
50352564,COc1cccc(OC)c1C(C)NS(=O)(=O)NC(=O)OCc1ccccc1,0.011,Ki (nM),COc1cccc(OC)c1C(C)NS(=O)(=O)NC(=O)OCc1ccccc1,False,False
50077151,CN(CCCCNc1c2CCCCc2nc2ccccc12)CCCNc1c2CCCCc2nc2ccccc12,0.012,Ki (nM),CN(CCCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2,False,False
50871617,CN(CCCCNc1c2CCCCc2nc2ccccc12)CCCNc1c2CCCCc2nc2ccccc12,0.012,Ki (nM),CN(CCCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2,False,False
