smiles,standard_type,value,units,bindingdb_id,data_validity_comment,activity_comment,warning_flag
"CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3cnc(NCC4CCC(C)(O)CC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1 |c:59,(8.08,-9.44,;7.26,-8.14,;8.8,-8.19,;7.26,-6.6,;5.93,-5.83,;4.59,-6.6,;3.26,-5.83,;3.26,-4.29,;4.59,-3.52,;4.59,-1.98,;3.26,-1.21,;1.92,-1.98,;1.92,-3.52,;3.26,.33,;4.59,1.1,;4.59,2.64,;3.26,3.41,;3.26,4.95,;4.59,5.72,;1.92,5.72,;1.92,7.26,;1.92,8.8,;3.46,7.26,;.38,7.26,;-.39,5.93,;-1.93,5.93,;-2.7,7.26,;-4.24,7.26,;-5.01,8.59,;-6.55,8.59,;-7.32,7.26,;-8.86,7.26,;-9.63,8.59,;-10.99,7.87,;-10.99,9.32,;-8.86,9.93,;-7.32,9.93,;-1.93,8.59,;-.39,8.59,;-2.7,9.93,;-1.93,11.26,;-4.24,9.93,;1.92,2.64,;.59,3.41,;-.74,2.64,;-.74,1.1,;-2.08,.33,;-3.41,1.1,;-4.87,.63,;-5.78,1.87,;-4.87,3.12,;-3.41,2.64,;-2.08,3.41,;1.92,1.1,;4.59,-8.14,;5.93,-8.91,;3.26,-8.91,;3.26,-10.45,;1.92,-11.22,;.59,-10.45,;-.74,-11.22,;.59,-8.91,;1.92,-8.14,)|",Ki,<0.001,nM,339909,,,False
COC1(C)CCC(=C(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)C1)c1ccc(Cl)cc1 |t:6|,Ki,<0.001,nM,339911,,,False
"COC1(C)CCC(=C(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCC(C)(O)CC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)C1)c1ccc(Cl)cc1 |t:6,(7.24,-3.72,;7.96,-5.08,;7.15,-6.39,;8.68,-6.33,;7.15,-7.93,;5.81,-8.7,;4.48,-7.93,;4.48,-6.39,;3.14,-5.62,;3.14,-4.08,;4.48,-3.31,;4.48,-1.77,;3.14,-1,;1.81,-1.77,;1.81,-3.31,;3.14,.54,;4.48,1.31,;4.48,2.85,;3.14,3.62,;3.14,5.16,;4.48,5.93,;1.81,5.93,;1.81,7.47,;1.81,9.01,;3.35,7.47,;.27,7.47,;-.5,6.14,;-2.04,6.14,;-2.81,7.47,;-4.35,7.47,;-5.12,6.14,;-6.66,6.14,;-7.43,4.81,;-8.97,4.81,;-9.74,6.14,;-11.1,5.42,;-11.1,6.86,;-8.97,7.47,;-7.43,7.47,;-2.04,8.81,;-.5,8.81,;-2.81,10.14,;-2.04,11.48,;-4.35,10.14,;1.81,2.85,;.48,3.62,;-.86,2.85,;-.86,1.31,;-2.19,.54,;-3.52,1.31,;-4.99,.84,;-5.89,2.08,;-4.99,3.33,;-3.52,2.85,;-2.19,3.62,;1.81,1.31,;5.81,-5.62,;3.14,-8.7,;3.14,-10.24,;1.81,-11.01,;.48,-10.24,;-.86,-11.01,;.48,-8.7,;1.81,-7.93,)|",Ki,<0.001,nM,339910,,,False
"CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3cnc(NCC4CCC(C)(O)CC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1 |c:59,(8.08,-9.44,;7.26,-8.14,;8.8,-8.19,;7.26,-6.6,;5.93,-5.83,;4.59,-6.6,;3.26,-5.83,;3.26,-4.29,;4.59,-3.52,;4.59,-1.98,;3.26,-1.21,;1.92,-1.98,;1.92,-3.52,;3.26,.33,;4.59,1.1,;4.59,2.64,;3.26,3.41,;3.26,4.95,;4.59,5.72,;1.92,5.72,;1.92,7.26,;1.92,8.8,;3.46,7.26,;.38,7.26,;-.39,5.93,;-1.93,5.93,;-2.7,7.26,;-4.24,7.26,;-5.01,8.59,;-6.55,8.59,;-7.32,7.26,;-8.86,7.26,;-9.63,8.59,;-10.99,7.87,;-10.99,9.32,;-8.86,9.93,;-7.32,9.93,;-1.93,8.59,;-.39,8.59,;-2.7,9.93,;-1.93,11.26,;-4.24,9.93,;1.92,2.64,;.59,3.41,;-.74,2.64,;-.74,1.1,;-2.08,.33,;-3.41,1.1,;-4.87,.63,;-5.78,1.87,;-4.87,3.12,;-3.41,2.64,;-2.08,3.41,;1.92,1.1,;4.59,-8.14,;5.93,-8.91,;3.26,-8.91,;3.26,-10.45,;1.92,-11.22,;.59,-10.45,;-.74,-11.22,;.59,-8.91,;1.92,-8.14,)|",Ki,<0.001,nM,339905,,,False
"COCC1CCC(CNc2ccc(cc2[N+]([O-])=O)S(=O)(=O)NC(=O)c2ccc(cc2Oc2cnc3[nH]ccc3c2)N2CCN(CC3=C(CC(C)(C)CC3)c3ccc(Cl)cc3)CC2)CC1 |t:49,(-10.07,6.16,;-8.53,6.16,;-7.76,4.83,;-6.22,4.83,;-5.45,3.49,;-3.91,3.49,;-3.14,4.83,;-1.6,4.83,;-.83,6.16,;.71,6.16,;1.48,4.83,;3.02,4.83,;3.79,6.16,;3.02,7.49,;1.48,7.49,;.71,8.83,;1.48,10.16,;-.83,8.83,;5.33,6.16,;5.33,7.7,;6.87,6.16,;5.33,4.62,;6.67,3.85,;8,4.62,;6.67,2.31,;8,1.54,;8,,;6.67,-.77,;5.33,,;5.33,1.54,;4,2.31,;2.67,1.54,;2.67,,;1.33,-.77,;;-1.46,-.48,;-2.37,.77,;-1.46,2.02,;,1.54,;1.33,2.31,;6.67,-2.31,;8,-3.08,;8,-4.62,;6.67,-5.39,;6.67,-6.93,;8,-7.7,;8,-9.24,;9.34,-10.01,;10.67,-9.24,;11.49,-10.55,;12.21,-9.29,;10.67,-7.7,;9.34,-6.93,;6.67,-10.01,;6.67,-11.55,;5.33,-12.32,;4,-11.55,;2.67,-12.32,;4,-10.01,;5.33,-9.24,;5.33,-4.62,;5.33,-3.08,;-3.91,6.16,;-5.45,6.16,)|",Ki,<0.001,nM,339907,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(=O)N4CCOCC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1 |c:58|,Ki,<0.001,nM,339906,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3cnc(NC[C@H]4CC[C@](C)(O)CC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki,<0.001,nM,704963,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(=O)N4CCOCC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki,<0.001,nM,704960,,,False
COCC1CCC(CNc2ccc(cc2[N+]([O-])=O)S(=O)(=O)NC(=O)c2ccc(cc2Oc2cnc3[nH]ccc3c2)N2CCN(CC3=C(CC(C)(C)CC3)c3ccc(Cl)cc3)CC2)CC1,Ki,<0.001,nM,704961,,,False
COC1(C)CCC(=C(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NC[C@H]4CC[C@@](C)(O)CC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)C1)c1ccc(Cl)cc1,Ki,<0.001,nM,704964,,,False
