smiles,standard_type,value,units,chembl_id,document_chembl_id,data_validity_comment,activity_comment,warning_flag
Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12,Ki,5800.0,nM,CHEMBL379218,CHEMBL1137422,,,False
N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2,Ki,1119.0,nM,CHEMBL248757,CHEMBL1140564,,,False
O=C1Nc2ccccc2-c2ccnc3[nH]cc(c23)C1c1ccc(O)cc1,Ki,190.0,nM,CHEMBL584052,CHEMBL1154754,,,False
CC(C)(C)c1ccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)cc1,Ki,27.0,nM,CHEMBL1765770,CHEMBL1765075,,,False
CN(C)c1ccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)cc1,Ki,46.0,nM,CHEMBL1765772,CHEMBL1765075,,,False
O=C(Nc1cc(-c2ccncc2)c[nH]c1=O)c1ccc(N2CCCCC2)cc1,Ki,12.0,nM,CHEMBL1765097,CHEMBL1765075,,,False
CNc1cc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)ccn1,Ki,12.0,nM,CHEMBL1765774,CHEMBL1765075,,,False
CNc1cc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)ncn1,Ki,83.0,nM,CHEMBL1765775,CHEMBL1765075,,,False
CNc1cccc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)c1,Ki,81.0,nM,CHEMBL1765776,CHEMBL1765075,,,False
CNc1cccc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)n1,Ki,148.0,nM,CHEMBL1765777,CHEMBL1765075,,,False
CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)n1,Ki,155.0,nM,CHEMBL1765779,CHEMBL1765075,,,False
CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)c1,Ki,270.0,nM,CHEMBL1765780,CHEMBL1765075,,,False
CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)n1,Ki,200.0,nM,CHEMBL1765781,CHEMBL1765075,,,False
CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)c1,Ki,1300.0,nM,CHEMBL1765782,CHEMBL1765075,,,False
CNc1cc(F)cc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)c1,Ki,400.0,nM,CHEMBL1765783,CHEMBL1765075,,,False
CNc1cc(C#N)cc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)c1,Ki,400.0,nM,CHEMBL1765784,CHEMBL1765075,,,False
CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)n1,Ki,200.0,nM,CHEMBL1765781,CHEMBL1765075,,,False
COc1ccccc1Nc1nc(N)n(-c2ccccn2)n1,Ki,12.0,nM,CHEMBL1835741,CHEMBL1833953,,,False
COc1ccc(N2CCOCC2)cc1Nc1nc(N)n(-c2ccccn2)n1,Ki,60.0,nM,CHEMBL1833992,CHEMBL1833953,,,False
Nc1nc(Nc2cc(N3CCOCC3)ccc2F)nn1-c1ccccn1,Ki,37.0,nM,CHEMBL1835743,CHEMBL1833953,,,False
COc1cc(N2CCOCC2)ccc1Nc1nc(N)n(-c2ccc(C#N)cn2)n1,Ki,205.0,nM,CHEMBL1835745,CHEMBL1833953,,,False
COc1ccccc1Nc1nc(N)n(-c2cc(NCCN(C)C)ncn2)n1,Ki,270.0,nM,CHEMBL1835746,CHEMBL1833953,,,False
Nc1nc(Nc2ccc(N3CCOCC3)cc2)nn1-c1ccccn1,Ki,18.0,nM,CHEMBL1835747,CHEMBL1833953,,,False
Nc1nc(Nc2ccc(C(=O)NCCN3CCOCC3)cc2)nn1-c1ccccn1,Ki,38.0,nM,CHEMBL1835749,CHEMBL1833953,,,False
Nc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2)nn1-c1ccccn1,Ki,21.0,nM,CHEMBL1835863,CHEMBL1833953,,,False
Nc1nc(Nc2cccc(C(=O)N3CCOCC3)c2)nn1-c1ccccn1,Ki,10.0,nM,CHEMBL1835864,CHEMBL1833953,,,False
CC(=O)Nc1ccc(Nc2nc(N)n(-c3ccccn3)n2)cc1,Ki,240.0,nM,CHEMBL1835865,CHEMBL1833953,,,False
CC(=O)Nc1cccc(Nc2nc(N)n(-c3ccccn3)n2)c1,Ki,180.0,nM,CHEMBL1835866,CHEMBL1833953,,,False
COc1ccc(Nc2nc(N)n(-c3ccccn3)n2)cc1OC,Ki,9.0,nM,CHEMBL1835740,CHEMBL1833953,,,False
CNC(=O)C(C)n1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5ccc(C)cc5)cc4)csc23)cn1,Ki,7.943,nM,CHEMBL1970142,CHEMBL1201862,,active,False
COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,Ki,3162.28,nM,CHEMBL124660,CHEMBL1201862,,active,False
CCc1ccc2nccc(NC(=O)Nc3cccc(C(F)(F)F)n3)c2c1,Ki,199.53,nM,CHEMBL2000934,CHEMBL1201862,,active,False
COc1ccc(OC)c(CNC(=O)c2cc(N)c(C#N)c(OC(C)C)n2)c1,Ki,1000.0,nM,CHEMBL1982541,CHEMBL1201862,,active,False
