smiles,exp_mean,exp_std,exp_sem,no.entries,no.outliers,standard_types,chembl_id,chembl_id_doc
CC(=N)N1CCC(Oc2ccc3nc(CCC(=O)O)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,2670.0,0.0,0.0,1,0,Ki,CHEMBL369583,CHEMBL1133358
CC(=N)N1CCC(Oc2ccc3c(c2)nc(C(C)C)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,870.0,0.0,0.0,1,0,Ki,CHEMBL176744,CHEMBL1133358
CCC(C)c1nc2cc(OC3CCN(C(C)=N)CC3)ccc2n1Cc1ccc2ccc(C(=N)N)cc2c1,2300.0,0.0,0.0,1,0,Ki,CHEMBL367476,CHEMBL1133358
COC(=O)C(C)CN(c1ccc2c(c1)nc(C)n2Cc1ccc2ccc(C(=N)N)cc2c1)C1CCN(C(C)=N)CC1,5000.0,0.0,0.0,1,0,Ki,CHEMBL366405,CHEMBL1133358
CCCCc1nc2cc(OC3CCN(C(C)=N)CC3)ccc2n1Cc1ccc2ccc(C(=N)N)cc2c1,2000.0,0.0,0.0,1,0,Ki,CHEMBL176640,CHEMBL1133358
COC(=O)CCCN(c1ccc2c(c1)nc(C)n2Cc1ccc2ccc(C(=N)N)cc2c1)C1CCN(C(C)=N)CC1,6000.0,0.0,0.0,1,0,Ki,CHEMBL366855,CHEMBL1133358
Cc1ccc(C)c(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)c1,40.0,0.0,0.0,1,0,Ki,CHEMBL3142745,CHEMBL1131569
CC(=N)N1CCC(N(CC(N)=O)c2ccc3nc(C)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,490.0,0.0,0.0,1,0,Ki,CHEMBL369480,CHEMBL1133358
Nc1cc[n+](Cc2ccc(OC(CCc3ccccc3)c3ccccc3)cc2)cc1,160.0,0.0,0.0,1,0,Ki,CHEMBL47481,CHEMBL1131365
CC(=N)N1CCC(N(CCCC(=O)O)c2ccc3nc(C)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,5000.0,0.0,0.0,1,0,Ki,CHEMBL177212,CHEMBL1133358
N[C@@H](C(=O)N1CCC[C@H]1C(=O)NC[C@H]1CC[C@H](N)CC1)C(c1ccccc1)c1ccccc1,0.1,0.0,0.0,1,0,Ki,CHEMBL3349684,CHEMBL1131569
c1ccc(COc2ccc(CCNc3ccncc3)cc2)cc1,7900.0,0.0,0.0,1,0,Ki,CHEMBL48029,CHEMBL1131365
CCCCc1nc2ccc(OC3CCN(C(C)=N)CC3)cc2n1Cc1ccc2ccc(C(=N)N)cc2c1,230.0,0.0,0.0,1,0,Ki,CHEMBL177225,CHEMBL1133358
c1ccc(COc2ccc(CNc3ccncc3)cc2)cc1,4700.0,0.0,0.0,1,0,Ki,CHEMBL47751,CHEMBL1131365
COC(=O)CCCN(c1ccc2nc(C)n(Cc3ccc4ccc(C(=N)N)cc4c3)c2c1)C1CCN(C(C)=N)CC1,4610.0,0.0,0.0,1,0,Ki,CHEMBL366556,CHEMBL1133358
COC(=O)C(C)CN(c1ccc2nc(C)n(Cc3ccc4ccc(C(=N)N)cc4c3)c2c1)C1CCN(C(C)=N)CC1,300.0,0.0,0.0,1,0,Ki,CHEMBL366535,CHEMBL1133358
CC(=N)N1CCC(N(CCCC(=O)O)c2ccc3c(c2)nc(C)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,5000.0,0.0,0.0,1,0,Ki,CHEMBL171966,CHEMBL1133358
CCCc1nc2cc(OC3CCN(C(C)=N)CC3)ccc2n1Cc1ccc2ccc(C(=N)N)cc2c1,2400.0,0.0,0.0,1,0,Ki,CHEMBL369161,CHEMBL1133358
NC(C(=O)N1CCC[C@H]1C(=O)NCc1cc(Cl)ccc1Cl)C(c1ccccc1)c1ccccc1,3.0,0.0,0.0,2,0,Ki,CHEMBL108183,"CHEMBL1131061,CHEMBL1131569"
COC(=O)CN(c1ccc2c(c1)nc(C)n2Cc1ccc2ccc(C(=N)N)cc2c1)C1CCN(C(C)=N)CC1,2700.0,0.0,0.0,1,0,Ki,CHEMBL355097,CHEMBL1133358
CC(=N)N1CCC(Oc2ccc3nc(CCC(N)=O)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,590.0,0.0,0.0,1,0,Ki,CHEMBL367725,CHEMBL1133358
NC(C(=O)N1CCC[C@H]1C(=O)NCc1ccccc1)C(c1ccccc1)c1ccccc1,110.0,0.0,0.0,1,0,Ki,CHEMBL3142667,CHEMBL1131569
CCC(C)c1nc2ccc(OC3CCN(C(C)=N)CC3)cc2n1Cc1ccc2ccc(C(=N)N)cc2c1,160.0,0.0,0.0,1,0,Ki,CHEMBL369165,CHEMBL1133358
CC(=N)N1CCC(Oc2ccc3c(c2)nc(C)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,3900.0,0.0,0.0,1,0,Ki,CHEMBL441670,CHEMBL1133358
CC(=N)N1CCC(Oc2ccc3c(c2)nc(C(C)(C)C)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,950.0,0.0,0.0,1,0,Ki,CHEMBL175286,CHEMBL1133358
CCOC(=O)CCC(=O)N(c1ccc2nc(C)n(Cc3ccc4ccc(C(=N)N)cc4c3)c2c1)C1CCN(C(C)=N)CC1,4600.0,0.0,0.0,1,0,Ki,CHEMBL355796,CHEMBL1133358
CC(=N)N1CCC(Oc2ccc3nc(C)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,230.0,0.0,0.0,1,0,Ki,CHEMBL173020,CHEMBL1133358
CC(=N)N1CCC(N(CC(C)C(=O)O)c2ccc3c(c2)nc(C)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,5000.0,0.0,0.0,1,0,Ki,CHEMBL177136,CHEMBL1133358
CCOC(=O)CCC(=O)N(c1ccc2c(c1)nc(C)n2Cc1ccc2ccc(C(=N)N)cc2c1)C1CCN(C(C)=N)CC1,5000.0,0.0,0.0,1,0,Ki,CHEMBL151985,CHEMBL1133358
CN[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CCCN=C(N)N,13.5,5.338539126015656,2.0177781274036475,7,0,Ki,CHEMBL273196,"CHEMBL1129256,CHEMBL1132684,CHEMBL1134950,CHEMBL1142732,CHEMBL1143211"
NC(C(=O)N1CCC[C@H]1C(=O)NCC1CCCCC1)C(c1ccccc1)c1ccccc1,70.0,0.0,0.0,1,0,Ki,CHEMBL3142712,CHEMBL1131569
CC(=N)N1CCC(Oc2ccc3nc(C(C)C)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,32.0,0.0,0.0,1,0,Ki,CHEMBL177142,CHEMBL1133358
COC(=O)CN(c1ccc2nc(C)n(Cc3ccc4ccc(C(=N)N)cc4c3)c2c1)C1CCN(C(C)=N)CC1,98.0,0.0,0.0,1,0,Ki,CHEMBL172532,CHEMBL1133358
Nc1cc[n+](Cc2ccc(OCc3ccccc3)cc2)cc1,700.0,0.0,0.0,1,0,Ki,CHEMBL47543,CHEMBL1131365
Nc1cc[n+](Cc2ccc(OC(c3ccccc3)c3ccccc3)cc2)cc1,58.0,0.0,0.0,1,0,Ki,CHEMBL48016,CHEMBL1131365
CC(=N)N1CCC(N(CC(C)C(=O)O)c2ccc3nc(C)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,650.0,0.0,0.0,1,0,Ki,CHEMBL174829,CHEMBL1133358
CCc1nc2ccc(OC3CCN(C(C)=N)CC3)cc2n1Cc1ccc2ccc(C(=N)N)cc2c1,60.0,0.0,0.0,1,0,Ki,CHEMBL367840,CHEMBL1133358
CCCc1nc2ccc(OC3CCN(C(C)=N)CC3)cc2n1Cc1ccc2ccc(C(=N)N)cc2c1,70.0,0.0,0.0,1,0,Ki,CHEMBL176813,CHEMBL1133358
CC(=N)N1CCC(N(C(=O)CCC(=O)O)c2ccc3nc(C)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,5000.0,0.0,0.0,1,0,Ki,CHEMBL172831,CHEMBL1133358
CC(=N)N1CCC(Oc2ccc3ncn(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,810.0,0.0,0.0,1,0,Ki,CHEMBL176636,CHEMBL1133358
CC(=N)N1CCC(Oc2ccc3nc(C(C)(C)C)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,48.0,0.0,0.0,1,0,Ki,CHEMBL425132,CHEMBL1133358
c1ccc(C(Oc2ccc(CNc3ccncc3)cc2)c2ccccc2)cc1,1300.0,0.0,0.0,1,0,Ki,CHEMBL47486,CHEMBL1131365
C[C@H]1CNc2cc(S(=O)(=O)N[C@H](CCCNC(=N)N)C(=O)N3CCCCC3C(=O)O)ccc2C1,19.0,0.0,0.0,1,0,Ki,CHEMBL1160894,CHEMBL1132353
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,13000.0,0.0,0.0,1,0,Ki,CHEMBL325041,CHEMBL1130744
N=C(N)c1ccc(C[C@@H](NC(=O)CNS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCCC2)cc1,6.125,0.21650635094610965,0.10825317547305482,5,1,Ki,CHEMBL51173,"CHEMBL1131999,CHEMBL1132353,CHEMBL1132933,CHEMBL1150979"
O=S(=O)(Nc1cccc(OCCNc2ccncc2)c1)c1ccccc1,305.3333333333333,7.542472332656507,4.354648431614539,4,1,Ki,CHEMBL23813,"CHEMBL1130854,CHEMBL1146604,CHEMBL1150979"
CC(=O)NCC(=O)NC(CCCN=C(N)N)B(O)O,26.0,0.0,0.0,1,0,Ki,CHEMBL53163,CHEMBL1126719
CC(C)(C)OC(=O)N[C@H](Cc1ccccc1)C(=O)NCC(=O)NC(CCCN=C(N)N)B(O)O,0.4,0.0,0.0,1,0,Ki,CHEMBL2028992,CHEMBL1126719
CC(=O)N1CCC[C@H]1C(=O)NC(CCCN=C(N)N)B(O)O,3.3,0.0,0.0,1,0,Ki,CHEMBL2028996,CHEMBL1126719
CC(=O)N[C@H](Cc1ccccc1)C(=O)NCC(=O)NC(CCCN=C(N)N)B(O)O,4.3,0.0,0.0,1,0,Ki,CHEMBL2028995,CHEMBL1126719
COc1ccc(C(=O)OC[C@H](CCCN=C(N)N)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC(=O)OC(C)(C)C)cc1,14000.0,0.0,0.0,1,0,Ki,CHEMBL13769,CHEMBL1129918
CC(=O)N[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)B(O)O,0.0408,0.000748331477354789,0.00033466401061363056,5,0,Ki,CHEMBL290376,"CHEMBL1126719,CHEMBL1131664,CHEMBL1133572,CHEMBL1149934,CHEMBL1151536"
Cc1cc(OCC/C=N/N=C(N)N)cc(OS(=O)(=O)c2ccc(Cl)s2)c1,9.2,0.0,0.0,1,0,Ki,CHEMBL129294,CHEMBL1132849
Cc1cc(OCC/C=N/N=C(N)N)cc(OS(=O)(=O)c2cccc(C)c2)c1,6.0,0.0,0.0,1,0,Ki,CHEMBL341126,CHEMBL1132849
N=C(N)c1ccc(CNC(=O)CNC(=O)[C@@H](CO)NS(=O)(=O)CCc2ccccc2)cc1,33000.0,0.0,0.0,1,0,Ki,CHEMBL415741,CHEMBL1135855
COc1ccccc1S(=O)(=O)Oc1cc(C)cc(OCCC/C=N/N=C(N)N)c1,1300.0,0.0,0.0,1,0,Ki,CHEMBL340424,CHEMBL1132849
Cc1cc(OCC2(/C=N/N=C(N)N)CC2)cc(OS(=O)(=O)c2ccccc2C#N)c1,40.0,0.0,0.0,1,0,Ki,CHEMBL128436,CHEMBL1132849
COC(=O)OC[C@@H](NS(=O)(=O)Cc1ccccc1)C(=O)NCC(=O)NCc1ccc(C(=N)N)cc1,3000.0,0.0,0.0,1,0,Ki,CHEMBL159162,CHEMBL1135855
Cc1cc(OCC/C=N/N=C(N)N)cc(OS(=O)(=O)c2cccc3cccnc23)c1,4.7,0.0,0.0,1,0,Ki,CHEMBL128443,CHEMBL1132849
Cc1cc(OCCCCN=C(N)N)cc(OS(=O)(=O)c2ccccc2Cl)c1,13.0,0.0,0.0,3,1,Ki,CHEMBL287807,"CHEMBL1130852,CHEMBL1133126"
N=C(N)c1ccc(CNC(=O)CNC(=O)[C@@H](CO)NS(=O)(=O)c2ccc3ccccc3c2)cc1,11000.0,0.0,0.0,1,0,Ki,CHEMBL346117,CHEMBL1135855
N=C(N)c1ccc(CNC(=O)CNC(=O)[C@@H](CO)NS(=O)(=O)CC2CCCCC2)cc1,10000.0,0.0,0.0,1,0,Ki,CHEMBL158814,CHEMBL1135855
N=C(N)c1ccc(CNC(=O)[C@H]2CCCN2C(=O)[C@@H](CO)NS(=O)(=O)Cc2ccccc2)cc1,12.0,0.0,0.0,1,0,Ki,CHEMBL158939,CHEMBL1135855
C[C@H](NC(=O)[C@@H](CO)NS(=O)(=O)Cc1ccccc1)C(=O)NCc1ccc(C(=N)N)cc1,105.0,5.0,3.5355339059327373,2,0,Ki,CHEMBL158405,"CHEMBL1135855,CHEMBL1944597"
Cc1cc(OCC/C=N/N=C(N)N)cc(OS(=O)(=O)c2cccnc2)c1,36.0,0.0,0.0,1,0,Ki,CHEMBL128576,CHEMBL1132849
N=C(N)c1ccc(CNC(=O)CNS(=O)(=O)c2ccc3ccccc3c2)cc1,16000.0,0.0,0.0,1,0,Ki,CHEMBL156858,CHEMBL1135855
CC(C)c1cc(S(=O)(=O)N[C@H](CO)C(=O)NCC(=O)NCc2ccc(C(=N)N)cc2)cc(C(C)C)c1C(C)C,15000.0,0.0,0.0,1,0,Ki,CHEMBL157131,CHEMBL1135855
CC(C)COC(=O)OC[C@@H](NS(=O)(=O)Cc1ccccc1)C(=O)NCC(=O)NCc1ccc(C(=N)N)cc1,4000.0,0.0,0.0,1,0,Ki,CHEMBL345435,CHEMBL1135855
