smiles,standard_type,value,units,chembl_id,document_chembl_id,data_validity_comment,activity_comment,warning_flag
CC(=N)N1CCC(Oc2ccc3nc(CCC(=O)O)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,Ki,2670.0,nM,CHEMBL369583,CHEMBL1133358,,,False
CC(=N)N1CCC(Oc2ccc3c(c2)nc(C(C)C)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,Ki,870.0,nM,CHEMBL176744,CHEMBL1133358,,,False
CCC(C)c1nc2cc(OC3CCN(C(C)=N)CC3)ccc2n1Cc1ccc2ccc(C(=N)N)cc2c1,Ki,2300.0,nM,CHEMBL367476,CHEMBL1133358,,,False
COC(=O)C(C)CN(c1ccc2c(c1)nc(C)n2Cc1ccc2ccc(C(=N)N)cc2c1)C1CCN(C(C)=N)CC1,Ki,5000.0,nM,CHEMBL366405,CHEMBL1133358,,,False
CCCCc1nc2cc(OC3CCN(C(C)=N)CC3)ccc2n1Cc1ccc2ccc(C(=N)N)cc2c1,Ki,2000.0,nM,CHEMBL176640,CHEMBL1133358,,,False
COC(=O)CCCN(c1ccc2c(c1)nc(C)n2Cc1ccc2ccc(C(=N)N)cc2c1)C1CCN(C(C)=N)CC1,Ki,6000.0,nM,CHEMBL366855,CHEMBL1133358,,,False
Cc1ccc(C)c(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)c1,Ki,40.0,nM,CHEMBL3142745,CHEMBL1131569,,,False
CC(=N)N1CCC(N(CC(N)=O)c2ccc3nc(C)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,Ki,490.0,nM,CHEMBL369480,CHEMBL1133358,,,False
Nc1cc[n+](Cc2ccc(OC(CCc3ccccc3)c3ccccc3)cc2)cc1,Ki,160.0,nM,CHEMBL47481,CHEMBL1131365,,,False
CC(=N)N1CCC(N(CCCC(=O)O)c2ccc3nc(C)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,Ki,5000.0,nM,CHEMBL177212,CHEMBL1133358,,,False
N[C@@H](C(=O)N1CCC[C@H]1C(=O)NC[C@H]1CC[C@H](N)CC1)C(c1ccccc1)c1ccccc1,Ki,0.1,nM,CHEMBL3349684,CHEMBL1131569,,,False
c1ccc(COc2ccc(CCNc3ccncc3)cc2)cc1,Ki,7900.0,nM,CHEMBL48029,CHEMBL1131365,,,False
CCCCc1nc2ccc(OC3CCN(C(C)=N)CC3)cc2n1Cc1ccc2ccc(C(=N)N)cc2c1,Ki,230.0,nM,CHEMBL177225,CHEMBL1133358,,,False
NC1CCN(Cc2ccc(OCc3ccccc3)cc2)CC1,Ki,581000.0,nM,CHEMBL47349,CHEMBL1131365,Outside typical range,,True
c1ccc(COc2ccc(CNc3ccncc3)cc2)cc1,Ki,4700.0,nM,CHEMBL47751,CHEMBL1131365,,,False
COC(=O)CCCN(c1ccc2nc(C)n(Cc3ccc4ccc(C(=N)N)cc4c3)c2c1)C1CCN(C(C)=N)CC1,Ki,4610.0,nM,CHEMBL366556,CHEMBL1133358,,,False
COC(=O)C(C)CN(c1ccc2nc(C)n(Cc3ccc4ccc(C(=N)N)cc4c3)c2c1)C1CCN(C(C)=N)CC1,Ki,300.0,nM,CHEMBL366535,CHEMBL1133358,,,False
CC(=N)N1CCC(N(CCCC(=O)O)c2ccc3c(c2)nc(C)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,Ki,5000.0,nM,CHEMBL171966,CHEMBL1133358,,,False
CCCc1nc2cc(OC3CCN(C(C)=N)CC3)ccc2n1Cc1ccc2ccc(C(=N)N)cc2c1,Ki,2400.0,nM,CHEMBL369161,CHEMBL1133358,,,False
NC(C(=O)N1CCC[C@H]1C(=O)NCc1cc(Cl)ccc1Cl)C(c1ccccc1)c1ccccc1,Ki,3.0,nM,CHEMBL108183,CHEMBL1131569,,,False
COC(=O)CN(c1ccc2c(c1)nc(C)n2Cc1ccc2ccc(C(=N)N)cc2c1)C1CCN(C(C)=N)CC1,Ki,2700.0,nM,CHEMBL355097,CHEMBL1133358,,,False
CC(=N)N1CCC(Oc2ccc3nc(CCC(N)=O)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,Ki,590.0,nM,CHEMBL367725,CHEMBL1133358,,,False
NC(C(=O)N1CCC[C@H]1C(=O)NCc1ccccc1)C(c1ccccc1)c1ccccc1,Ki,110.0,nM,CHEMBL3142667,CHEMBL1131569,,,False
CCC(C)c1nc2ccc(OC3CCN(C(C)=N)CC3)cc2n1Cc1ccc2ccc(C(=N)N)cc2c1,Ki,160.0,nM,CHEMBL369165,CHEMBL1133358,,,False
CC(=N)N1CCC(Oc2ccc3c(c2)nc(C)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,Ki,3900.0,nM,CHEMBL441670,CHEMBL1133358,,,False
CC(=N)N1CCC(Oc2ccc3c(c2)nc(C(C)(C)C)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,Ki,950.0,nM,CHEMBL175286,CHEMBL1133358,,,False
CCOC(=O)CCC(=O)N(c1ccc2nc(C)n(Cc3ccc4ccc(C(=N)N)cc4c3)c2c1)C1CCN(C(C)=N)CC1,Ki,4600.0,nM,CHEMBL355796,CHEMBL1133358,,,False
CC(=N)N1CCC(Oc2ccc3nc(C)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,Ki,230.0,nM,CHEMBL173020,CHEMBL1133358,,,False
CCc1nc2cc(OC3CCN(C(C)=N)CC3)ccc2n1Cc1ccc2ccc(C(=N)N)cc2c1,Ki,2100.0,nM,CHEMBL24907,CHEMBL1133358,,,False
CC(=N)N1CCC(N(CC(C)C(=O)O)c2ccc3c(c2)nc(C)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,Ki,5000.0,nM,CHEMBL177136,CHEMBL1133358,,,False
CCOC(=O)CCC(=O)N(c1ccc2c(c1)nc(C)n2Cc1ccc2ccc(C(=N)N)cc2c1)C1CCN(C(C)=N)CC1,Ki,5000.0,nM,CHEMBL151985,CHEMBL1133358,,,False
CN[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CCCN=C(N)N,Ki,7.0,nM,CHEMBL273196,CHEMBL1134950,,,False
NC(C(=O)N1CCC[C@H]1C(=O)NCC1CCCCC1)C(c1ccccc1)c1ccccc1,Ki,70.0,nM,CHEMBL3142712,CHEMBL1131569,,,False
CC(=N)N1CCC(Oc2ccc3nc(C(C)C)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,Ki,32.0,nM,CHEMBL177142,CHEMBL1133358,,,False
COC(=O)CN(c1ccc2nc(C)n(Cc3ccc4ccc(C(=N)N)cc4c3)c2c1)C1CCN(C(C)=N)CC1,Ki,98.0,nM,CHEMBL172532,CHEMBL1133358,,,False
Nc1cc[n+](Cc2ccc(OCc3ccccc3)cc2)cc1,Ki,700.0,nM,CHEMBL47543,CHEMBL1131365,,,False
Nc1cc[n+](Cc2ccc(OC(c3ccccc3)c3ccccc3)cc2)cc1,Ki,58.0,nM,CHEMBL48016,CHEMBL1131365,,,False
CC(=N)N1CCC(N(CC(C)C(=O)O)c2ccc3nc(C)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,Ki,650.0,nM,CHEMBL174829,CHEMBL1133358,,,False
CCc1nc2ccc(OC3CCN(C(C)=N)CC3)cc2n1Cc1ccc2ccc(C(=N)N)cc2c1,Ki,60.0,nM,CHEMBL367840,CHEMBL1133358,,,False
CCCc1nc2ccc(OC3CCN(C(C)=N)CC3)cc2n1Cc1ccc2ccc(C(=N)N)cc2c1,Ki,70.0,nM,CHEMBL176813,CHEMBL1133358,,,False
CC(=N)N1CCC(N(C(=O)CCC(=O)O)c2ccc3nc(C)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,Ki,5000.0,nM,CHEMBL172831,CHEMBL1133358,,,False
CC(=N)N1CCC(Oc2ccc3ncn(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,Ki,810.0,nM,CHEMBL176636,CHEMBL1133358,,,False
CC(=N)N1CCC(Oc2ccc3nc(C(C)(C)C)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,Ki,48.0,nM,CHEMBL425132,CHEMBL1133358,,,False
c1ccc(C(Oc2ccc(CNc3ccncc3)cc2)c2ccccc2)cc1,Ki,1300.0,nM,CHEMBL47486,CHEMBL1131365,,,False
C[C@H]1CNc2cc(S(=O)(=O)N[C@H](CCCNC(=N)N)C(=O)N3CCCCC3C(=O)O)ccc2C1,Ki,19.0,nM,CHEMBL1160894,CHEMBL1132353,,,False
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,Ki,13000.0,nM,CHEMBL325041,CHEMBL1130744,,,False
N=C(N)c1ccc(C[C@@H](NC(=O)CNS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCCC2)cc1,Ki,6.0,nM,CHEMBL51173,CHEMBL1132353,,,False
O=S(=O)(Nc1cccc(OCCNc2ccncc2)c1)c1ccccc1,Ki,23.0,nM,CHEMBL23813,CHEMBL1132353,,,False
CC(=O)NCC(=O)NC(CCCN=C(N)N)B(O)O,Ki,26.0,nM,CHEMBL53163,CHEMBL1126719,,,False
CC(C)(C)OC(=O)N[C@H](Cc1ccccc1)C(=O)NCC(=O)NC(CCCN=C(N)N)B(O)O,Ki,0.4,nM,CHEMBL2028992,CHEMBL1126719,,,False
N=C(N)c1cccc(N2CCCCN(C3CCN(S(=O)(=O)c4ccccc4)CC3)C2=O)c1.O=C(O)C(F)(F)F,Ki,1600.0,nM,CHEMBL102502,CHEMBL1133385,,,False
N=C(N)c1cccc(N2CCCCN(C3CCN(Cc4cccs4)CC3)C2=O)c1.O=C(O)C(F)(F)F,Ki,1400.0,nM,CHEMBL102345,CHEMBL1133385,,,False
Cl.N=C(N)c1cccc(N2CCCCN(C3CCN(S(=O)(=O)c4cccs4)CC3)C2=O)c1,Ki,1500.0,nM,CHEMBL104995,CHEMBL1133385,,,False
Cl.Cl.N=C(N)c1cccc(N2CCCCN(C3CCN(CCc4ccccc4)CC3)C2=O)c1,Ki,3600.0,nM,CHEMBL556200,CHEMBL1133385,,,False
Cl.Cl.N=C(N)c1cccc(N2CCCCN(C3CCN(Cc4ccccc4)CC3)C2=O)c1,Ki,2000.0,nM,CHEMBL553840,CHEMBL1133385,,,False
N=C(N)c1cccc(N2CCCCN(C3CCN(Cc4ccccn4)CC3)C2=O)c1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,Ki,2600.0,nM,CHEMBL1160810,CHEMBL1133385,,,False
CC(=O)N1CCC[C@H]1C(=O)NC(CCCN=C(N)N)B(O)O,Ki,3.3,nM,CHEMBL2028996,CHEMBL1126719,,,False
CC(=O)N[C@H](Cc1ccccc1)C(=O)NCC(=O)NC(CCCN=C(N)N)B(O)O,Ki,4.3,nM,CHEMBL2028995,CHEMBL1126719,,,False
