smiles,chembl_id,exp_mean [nM],class
Cc1cc(Nc2nc3ccc(C(=O)Nc4c(C)cccc4Cl)cc3s2)nc(NCC2CCCO2)n1,CHEMBL432189,3.2,True
Cc1cccc(Cl)c1NC(=O)c1ccc2nc(Nc3cccc(NCCO)n3)sc2c1,CHEMBL312933,13.0,True
Cc1cccc(Cl)c1NC(=O)c1ccc2nc(NC(=O)NC(C)(C)C)sc2c1,CHEMBL67237,333.0,False
CNc1cc(Nc2nc3ccc(C(=O)Nc4c(C)cccc4Cl)cc3s2)ncn1,CHEMBL90002,17.0,True
CCCNc1nc(SC)nc2c1cnn2CC(Cl)c1ccccc1,CHEMBL312214,2900.0,False
CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21,CHEMBL406845,500.0,False
BrC(Cn1ncc2c(N3CCCCC3)ncnc21)c1ccccc1,CHEMBL203922,1592.4450000000002,False
OC(Cn1ncc2c(NCCc3ccccc3)ncnc21)c1ccccc1,CHEMBL378603,2400.0,False
C(=C\n1ncc2c(NCc3ccccc3)ncnc21)\c1ccccc1,CHEMBL203492,2400.0,False
C(=C\n1ncc2c(NC3CCCCC3)ncnc21)\c1ccccc1,CHEMBL425046,12000.0,False
C(=C\n1ncc2c(NC3CC3)ncnc21)\c1ccccc1,CHEMBL381279,9200.0,False
CCSc1nc(N2CC(C)OC(C)C2)c2cnn(/C=C\c3ccccc3)c2n1,CHEMBL203866,23000.0,False
CCCCNc1nc(SCC)nc2c1cnn2CC(Cl)c1ccccc1,CHEMBL41910,600.0,False
CSc1nc(NCCc2ccccc2)c2cnn(CC(Cl)c3ccccc3)c2n1,CHEMBL289125,700.0,False
CSc1nc(NCc2ccccc2)c2cnn(CC(Cl)c3ccccc3)c2n1,CHEMBL288280,3700.0,False
CSc1nc(N2CCOCC2)c2cnn(CC(Cl)c3ccccc3)c2n1,CHEMBL38492,6500.0,False
CSc1nc(N2CCCCC2)c2cnn(CC(Cl)c3ccccc3)c2n1,CHEMBL289298,2400.0,False
CCN(CC)c1nc(SC)nc2c1cnn2CC(Cl)c1ccccc1,CHEMBL83847,500.0,False
CCCCNc1nc(SC)nc2c1cnn2CC(Cl)c1ccccc1,CHEMBL40798,1700.0,False
Nc1[nH]cnc2nnc(-c3ccc(Cl)cc3)c1-2,CHEMBL207471,500.0,False
Cc1ccc(N2NC(=O)/C(=C/c3ccc(-c4ccc(C)c(Cl)c4)o3)C2=O)cc1C,CHEMBL206575,1000.0,False
O=C1NN(c2ccc(Cl)c(Cl)c2)C(=O)/C1=C\c1cccc(OCc2ccccc2)c1,CHEMBL207360,5400.0,False
O=C1NN(c2ccc(I)cc2)C(=O)/C1=C\c1cc2c(cc1Br)OCO2,CHEMBL379308,500.0,False
CCN(CC)c1ccc(/C=C2/C(=O)NN(c3ccc(I)cc3)C2=O)c(O)c1,CHEMBL208828,1000.0,False
O=C1NN(c2ccc(I)cc2)C(=O)/C1=C\c1ccc(I)cc1,CHEMBL210766,500.0,False
O=C1NN(c2ccc(I)cc2)C(=O)/C1=C\c1ccccc1,CHEMBL209617,4300.0,False
O=C1NN(c2ccccc2)C(=O)/C1=C\c1ccccc1OCc1ccccc1,CHEMBL380706,900.0,False
