smiles,standard_type,value,units,chembl_id,document_chembl_id,data_validity_comment,activity_comment,warning_flag,CuratedSmiles,IsSalt,FailedSanit,Neutralized
Cc1nc(C)c(-c2ccnc(Nc3ccc(O)cc3)n2)s1,Ki,320.0,nM,CHEMBL442957,CHEMBL1149116,,,False,Cc1nc(C)c(-c2ccnc(Nc3ccc(O)cc3)n2)s1,False,False,False
Cc1nc(C)c(-c2ccnc(N)n2)s1,Ki,16000.0,nM,CHEMBL47302,CHEMBL1149116,,,False,Cc1nc(C)c(-c2ccnc(N)n2)s1,False,False,False
Cc1nc(C)c(-c2ccnc(Nc3ccccc3F)n2)s1,Ki,1200.0,nM,CHEMBL297447,CHEMBL1149116,,,False,Cc1nc(C)c(-c2ccnc(Nc3ccccc3F)n2)s1,False,False,False
CNc1nc(C)c(-c2ccnc(Nc3cccc(O)c3)n2)s1,Ki,370.0,nM,CHEMBL44119,CHEMBL1149116,,,False,CNc1nc(C)c(-c2ccnc(Nc3cccc(O)c3)n2)s1,False,False,False
Cc1nc(C)c(-c2ccnc(Nc3cccc(C#N)c3)n2)s1,Ki,480.0,nM,CHEMBL47132,CHEMBL1149116,,,False,Cc1nc(C)c(-c2ccnc(Nc3cccc(C#N)c3)n2)s1,False,False,False
Cc1nc(C)c(-c2ccnc(Nc3cccc(N)c3)n2)s1,Ki,10640.0,nM,CHEMBL47636,CHEMBL1149116,,,False,Cc1nc(C)c(-c2ccnc(Nc3cccc(N)c3)n2)s1,False,False,False
Cc1nc(C)c(-c2ccnc(Nc3ccc(N(C)C)c(Cl)c3)n2)s1,Ki,1000.0,nM,CHEMBL433068,CHEMBL1149116,,,False,Cc1nc(C)c(-c2ccnc(Nc3ccc(N(C)C)c(Cl)c3)n2)s1,False,False,False
Cc1nc(N)sc1-c1ccnc(Nc2ccc(O)cc2)n1,Ki,320.0,nM,CHEMBL431336,CHEMBL1149116,,,False,Cc1nc(N)sc1-c1ccnc(Nc2ccc(O)cc2)n1,False,False,False
Cc1nc(C)c(-c2ccnc(Nc3cccc(O)c3)n2)s1,Ki,210.0,nM,CHEMBL47527,CHEMBL1149116,,,False,Cc1nc(C)c(-c2ccnc(Nc3cccc(O)c3)n2)s1,False,False,False
Cc1nc(C)c(-c2ccnc(Nc3ccc(N(C)C)cc3)n2)s1,Ki,960.0,nM,CHEMBL46817,CHEMBL1149116,,,False,Cc1nc(C)c(-c2ccnc(Nc3ccc(N(C)C)cc3)n2)s1,False,False,False
Cc1nc(N)sc1-c1ccnc(Nc2cccc([N+](=O)[O-])c2)n1,Ki,53.0,nM,CHEMBL298445,CHEMBL1149116,,,False,Cc1nc(N)sc1-c1ccnc(Nc2cccc([N+](=O)[O-])c2)n1,False,False,False
Cc1nc(N)sc1-c1ccnc(Nc2ccc(N(C)C)cc2)n1,Ki,900.0,nM,CHEMBL295398,CHEMBL1149116,,,False,Cc1nc(N)sc1-c1ccnc(Nc2ccc(N(C)C)cc2)n1,False,False,False
CNc1nc(C)c(-c2ccnc(Nc3cccc([N+](=O)[O-])c3)n2)s1,Ki,1600.0,nM,CHEMBL46429,CHEMBL1149116,,,False,CNc1nc(C)c(-c2ccnc(Nc3cccc([N+](=O)[O-])c3)n2)s1,False,False,False
Cc1nc(C)c(-c2ccnc(Nc3ccccc3)n2)s1,Ki,2600.0,nM,CHEMBL295127,CHEMBL1149116,,,False,Cc1nc(C)c(-c2ccnc(Nc3ccccc3)n2)s1,False,False,False
CNc1nc(C)c(-c2ccnc(Nc3ccc(O)cc3)n2)s1,Ki,320.0,nM,CHEMBL47590,CHEMBL1149116,,,False,CNc1nc(C)c(-c2ccnc(Nc3ccc(O)cc3)n2)s1,False,False,False
Cc1nc(C)c(-c2ccnc(Nc3ccc(N(C)C)c([N+](=O)[O-])c3)n2)s1,Ki,270.0,nM,CHEMBL295484,CHEMBL1149116,,,False,Cc1nc(C)c(-c2ccnc(Nc3ccc(N(C)C)c([N+](=O)[O-])c3)n2)s1,False,False,False
Cc1nc(C)c(-c2ccnc(Nc3cccc(F)c3)n2)s1,Ki,900.0,nM,CHEMBL432116,CHEMBL1149116,,,False,Cc1nc(C)c(-c2ccnc(Nc3cccc(F)c3)n2)s1,False,False,False
Cc1nc(N(C)C)sc1-c1ccnc(Nc2cccc([N+](=O)[O-])c2)n1,Ki,5300.0,nM,CHEMBL46401,CHEMBL1149116,,,False,Cc1nc(N(C)C)sc1-c1ccnc(Nc2cccc([N+](=O)[O-])c2)n1,False,False,False
C=CCNc1nc(C)c(-c2ccnc(Nc3cccc([N+](=O)[O-])c3)n2)s1,Ki,7100.0,nM,CHEMBL47249,CHEMBL1149116,,,False,C=CCNc1nc(C)c(-c2ccnc(Nc3cccc([N+](=O)[O-])c3)n2)s1,False,False,False
Cc1nc(C)c(-c2ccnc(Nc3cccc(Cl)c3)n2)s1,Ki,9400.0,nM,CHEMBL44712,CHEMBL1149116,,,False,Cc1nc(C)c(-c2ccnc(Nc3cccc(Cl)c3)n2)s1,False,False,False
Cc1[nH]c(C(N)=O)c(C)c1-c1ccnc(Nc2ccc(F)cc2)n1,Ki,420.0,nM,CHEMBL362722,CHEMBL1137157,,,False,Cc1[nH]c(C(N)=O)c(C)c1-c1ccnc(Nc2ccc(F)cc2)n1,False,False,False
Cc1[nH]c([N+](=O)[O-])c(C)c1-c1ccnc(Nc2ccc(F)cc2)n1,Ki,120.0,nM,CHEMBL364767,CHEMBL1137157,,,False,Cc1[nH]c([N+](=O)[O-])c(C)c1-c1ccnc(Nc2ccc(F)cc2)n1,False,False,False
Cc1[nH]c(Cl)c(C)c1-c1ccnc(Nc2ccc(F)cc2)n1,Ki,1910.0,nM,CHEMBL365245,CHEMBL1137157,,,False,Cc1[nH]c(Cl)c(C)c1-c1ccnc(Nc2ccc(F)cc2)n1,False,False,False
Cc1[nH]c(Br)c(C)c1-c1ccnc(Nc2ccc(F)cc2)n1,Ki,1600.0,nM,CHEMBL185099,CHEMBL1137157,,,False,Cc1[nH]c(Br)c(C)c1-c1ccnc(Nc2ccc(F)cc2)n1,False,False,False
Cc1c[nH]c(C)c1-c1ccnc(Nc2cccc([N+](=O)[O-])c2)n1,Ki,4170.0,nM,CHEMBL364408,CHEMBL1137157,,,False,Cc1c[nH]c(C)c1-c1ccnc(Nc2cccc([N+](=O)[O-])c2)n1,False,False,False
Cc1[nH]c(C#N)c(C)c1-c1ccnc(Nc2cccc([N+](=O)[O-])c2)n1,Ki,960.0,nM,CHEMBL264345,CHEMBL1137157,,,False,Cc1[nH]c(C#N)c(C)c1-c1ccnc(Nc2cccc([N+](=O)[O-])c2)n1,False,False,False
Cc1ccc(Nc2nccc(-c3c(C)[nH]c(C#N)c3C)n2)cc1[N+](=O)[O-],Ki,180.0,nM,CHEMBL183158,CHEMBL1137157,,,False,Cc1ccc(Nc2nccc(-c3c(C)[nH]c(C#N)c3C)n2)cc1[N+](=O)[O-],False,False,False
Cc1[nH]c(C#N)c(C)c1-c1ccnc(Nc2ccc(O)cc2)n1,Ki,260.0,nM,CHEMBL184253,CHEMBL1137157,,,False,Cc1[nH]c(C#N)c(C)c1-c1ccnc(Nc2ccc(O)cc2)n1,False,False,False
Cc1[nH]c(C#N)c(C)c1-c1ccnc(Nc2cccc(O)c2)n1,Ki,180.0,nM,CHEMBL360530,CHEMBL1137157,,,False,Cc1[nH]c(C#N)c(C)c1-c1ccnc(Nc2cccc(O)c2)n1,False,False,False
Cc1ccc(Nc2nccc(-c3c(C)[nH]c(C#N)c3C)n2)cc1O,Ki,220.0,nM,CHEMBL359623,CHEMBL1137157,,,False,Cc1ccc(Nc2nccc(-c3c(C)[nH]c(C#N)c3C)n2)cc1O,False,False,False
Cc1cc(Nc2nccc(-c3c(C)[nH]c(C#N)c3C)n2)ccc1F,Ki,300.0,nM,CHEMBL185310,CHEMBL1137157,,,False,Cc1cc(Nc2nccc(-c3c(C)[nH]c(C#N)c3C)n2)ccc1F,False,False,False
Cc1[nH]c(C#N)c(C)c1-c1ccnc(Nc2ccc(F)cc2)n1,Ki,900.0,nM,CHEMBL185323,CHEMBL1137157,,,False,Cc1[nH]c(C#N)c(C)c1-c1ccnc(Nc2ccc(F)cc2)n1,False,False,False
c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,Ki,150.0,nM,CHEMBL359554,CHEMBL1138749,,,False,c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,False,False,False
COc1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,Ki,60.0,nM,CHEMBL187081,CHEMBL1138749,,,False,COc1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,False,False,False
N#Cc1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,Ki,60.0,nM,CHEMBL359794,CHEMBL1138749,,,False,N#Cc1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,False,False,False
O=[N+]([O-])c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,Ki,20.0,nM,CHEMBL188938,CHEMBL1138749,,,False,O=[N+]([O-])c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,False,False,False
CC(C)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,Ki,1990.0,nM,CHEMBL359963,CHEMBL1138749,,,False,CC(C)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,False,False,False
CCC(C)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,Ki,310.0,nM,CHEMBL185871,CHEMBL1138749,,,False,CCC(C)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,False,False,False
CC(C)(C)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,Ki,1990.0,nM,CHEMBL364587,CHEMBL1138749,,,False,CC(C)(C)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,False,False,False
COc1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1OC,Ki,190.0,nM,CHEMBL186054,CHEMBL1138749,,,False,COc1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1OC,False,False,False
c1cnn2ncc(-c3ccnc(Nc4ccc5c(c4)OCO5)n3)c2c1,Ki,790.0,nM,CHEMBL189455,CHEMBL1138749,,,False,c1cnn2ncc(-c3ccnc(Nc4ccc5c(c4)OCO5)n3)c2c1,False,False,False
c1cnn2ncc(-c3ccnc(Nc4ccc5c(c4)OCCO5)n3)c2c1,Ki,10.0,nM,CHEMBL361894,CHEMBL1138749,,,False,c1cnn2ncc(-c3ccnc(Nc4ccc5c(c4)OCCO5)n3)c2c1,False,False,False
c1cnn2ncc(-c3ccnc(Nc4ccc5c(c4)OCCCO5)n3)c2c1,Ki,310.0,nM,CHEMBL186708,CHEMBL1138749,,,False,c1cnn2ncc(-c3ccnc(Nc4ccc5c(c4)OCCCO5)n3)c2c1,False,False,False
Clc1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1Cl,Ki,1990.0,nM,CHEMBL186890,CHEMBL1138749,,,False,Clc1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1Cl,False,False,False
FC(F)(F)c1cc(Nc2nccc(-c3cnn4ncccc34)n2)ccc1Cl,Ki,10.0,nM,CHEMBL188665,CHEMBL1138749,,,False,FC(F)(F)c1cc(Nc2nccc(-c3cnn4ncccc34)n2)ccc1Cl,False,False,False
COc1cc(Nc2nccc(-c3cnn4ncccc34)n2)cc(OC)c1,Ki,10.0,nM,CHEMBL359999,CHEMBL1138749,,,False,COc1cc(Nc2nccc(-c3cnn4ncccc34)n2)cc(OC)c1,False,False,False
COc1cc(Nc2nccc(-c3cnn4ncccc34)n2)cc(C(F)(F)F)c1,Ki,190.0,nM,CHEMBL360206,CHEMBL1138749,,,False,COc1cc(Nc2nccc(-c3cnn4ncccc34)n2)cc(C(F)(F)F)c1,False,False,False
FC(F)(F)c1cc(Br)cc(Nc2nccc(-c3cnn4ncccc34)n2)c1,Ki,250.0,nM,CHEMBL365229,CHEMBL1138749,,,False,FC(F)(F)c1cc(Br)cc(Nc2nccc(-c3cnn4ncccc34)n2)c1,False,False,False
Fc1cc(F)cc(Nc2nccc(-c3cnn4ncccc34)n2)c1,Ki,60.0,nM,CHEMBL184510,CHEMBL1138749,,,False,Fc1cc(F)cc(Nc2nccc(-c3cnn4ncccc34)n2)c1,False,False,False
Clc1cc(Cl)cc(Nc2nccc(-c3cnn4ncccc34)n2)c1,Ki,1990.0,nM,CHEMBL361697,CHEMBL1138749,,,False,Clc1cc(Cl)cc(Nc2nccc(-c3cnn4ncccc34)n2)c1,False,False,False
Cc1cc(C)cc(Nc2nccc(-c3cnn4ncccc34)n2)c1,Ki,1580.0,nM,CHEMBL186101,CHEMBL1138749,,,False,Cc1cc(C)cc(Nc2nccc(-c3cnn4ncccc34)n2)c1,False,False,False
COc1ccc2c(-c3ccnc(Nc4ccc(C#N)cc4)n3)cnn2n1,Ki,150.0,nM,CHEMBL189352,CHEMBL1138749,,,False,COc1ccc2c(-c3ccnc(Nc4ccc(C#N)cc4)n3)cnn2n1,False,False,False
COc1ccc2c(-c3ccnc(Nc4ccc([N+](=O)[O-])cc4)n3)cnn2n1,Ki,100.0,nM,CHEMBL186288,CHEMBL1138749,,,False,COc1ccc2c(-c3ccnc(Nc4ccc([N+](=O)[O-])cc4)n3)cnn2n1,False,False,False
COc1ccc2c(-c3ccnc(Nc4ccc5c(c4)OCCO5)n3)cnn2n1,Ki,1580.0,nM,CHEMBL188785,CHEMBL1138749,,,False,COc1ccc2c(-c3ccnc(Nc4ccc5c(c4)OCCO5)n3)cnn2n1,False,False,False
