smiles,exp_mean,exp_std,exp_sem,no.entries,no.outliers,standard_types,chembl_id,chembl_id_doc
CC1(C)OC[C@H](NC(=O)Nc2ccc(Br)cc2Cl)[C@H](c2ccccc2)O1,6.31,0.0,0.0,1,0,Ki,CHEMBL185088,CHEMBL1137156
Cc1cc(Br)ccc1NC(=O)N[C@H]1COC(C)(C)O[C@H]1c1ccccc1,39.81,0.0,0.0,1,0,Ki,CHEMBL185093,CHEMBL1137156
Cc1ccc(Cl)c(NC(=O)N[C@H]2COC(C)(C)O[C@H]2c2ccccc2)c1,63.1,0.0,0.0,1,0,Ki,CHEMBL182473,CHEMBL1137156
Cc1ccc(NC(=O)N[C@H]2COC(C)(C)O[C@H]2c2ccccc2)c(C)c1,125.89,0.0,0.0,1,0,Ki,CHEMBL183576,CHEMBL1137156
CC1(C)OC[C@H](NC(=O)Nc2cc(Cl)ccc2Cl)[C@H](c2ccccc2)O1,63.1,0.0,0.0,1,0,Ki,CHEMBL361716,CHEMBL1137156
CC1(C)OC[C@H](NC(=O)Nc2ccccc2I)[C@H](c2ccccc2)O1,79.43,0.0,0.0,1,0,Ki,CHEMBL185382,CHEMBL1137156
CC1(C)OC[C@H](NC(=O)Nc2ccccc2Cl)[C@H](c2ccccc2)O1,79.43,0.0,0.0,1,0,Ki,CHEMBL185435,CHEMBL1137156
CC1(C)OC[C@H](NC(=O)Nc2ccccc2F)[C@H](c2ccccc2)O1,398.11,0.0,0.0,1,0,Ki,CHEMBL361748,CHEMBL1137156
COc1ccccc1NC(=O)N[C@H]1COC(C)(C)O[C@H]1c1ccccc1,2511.89,0.0,0.0,1,0,Ki,CHEMBL184384,CHEMBL1137156
CC1(C)OC[C@H](NC(=O)Nc2ccccc2C(F)(F)F)[C@H](c2ccccc2)O1,100.0,0.0,0.0,1,0,Ki,CHEMBL363951,CHEMBL1137156
CC(C)c1ccccc1NC(=O)N[C@H]1COC(C)(C)O[C@H]1c1ccccc1,2511.89,0.0,0.0,1,0,Ki,CHEMBL183786,CHEMBL1137156
CC1(C)OC[C@H](NC(=O)Nc2ccccc2-c2cccs2)[C@H](c2ccccc2)O1,50.12,0.0,0.0,1,0,Ki,CHEMBL185424,CHEMBL1137156
CC1(C)OC[C@H](NC(=O)Nc2ccccc2-c2ccsc2)[C@H](c2ccccc2)O1,79.43,0.0,0.0,1,0,Ki,CHEMBL184596,CHEMBL1137156
CC1(C)OC[C@H](NC(=O)Nc2ccccc2-c2ccccc2)[C@H](c2ccccc2)O1,100.0,0.0,0.0,1,0,Ki,CHEMBL183421,CHEMBL1137156
CC1(C)OC[C@H](NC(=O)Nc2ccccc2-c2ccccc2Cl)[C@H](c2ccccc2)O1,25.12,0.0,0.0,1,0,Ki,CHEMBL364814,CHEMBL1137156
CC1(C)OC[C@H](NC(=O)Nc2ccccc2-c2cccnc2)[C@H](c2ccccc2)O1,316.23,0.0,0.0,1,0,Ki,CHEMBL182269,CHEMBL1137156
CC1(C)OC[C@H](NC(=O)Nc2ccccc2-c2cccc(Cl)c2)[C@H](c2ccccc2)O1,79.43,0.0,0.0,1,0,Ki,CHEMBL185131,CHEMBL1137156
CC1(C)OC[C@H](/N=C(\S)Nc2ccccc2Br)[C@H](c2ccccc2)O1,398.11,0.0,0.0,1,0,Ki,CHEMBL184303,CHEMBL1137156
CC1(C)OC[C@H](/N=C(\S)Nc2ccc(Cl)cc2Cl)[C@H](c2ccccc2)O1,199.53,0.0,0.0,1,0,Ki,CHEMBL183734,CHEMBL1137156
CC1(C)OC[C@H](NC(=O)c2ccc(Cl)cc2Cl)[C@H](c2ccccc2)O1,199.53,0.0,0.0,1,0,Ki,CHEMBL185324,CHEMBL1137156
CC1(C)OC[C@H](NC(=O)Oc2ccccc2Cl)[C@H](c2ccccc2)O1,1584.89,0.0,0.0,1,0,Ki,CHEMBL362742,CHEMBL1137156
CC1(C)OC[C@H](NC(=O)Cc2ccccc2Br)[C@H](c2ccccc2)O1,1584.89,0.0,0.0,1,0,Ki,CHEMBL363273,CHEMBL1137156
Cc1ccc(/N=C(\NC#N)N[C@H]2COC(C)(C)O[C@H]2c2ccccc2)c(Br)c1,1258.93,0.0,0.0,1,0,Ki,CHEMBL185005,CHEMBL1137156
CC1(C)OC[C@H](NC(=O)Nc2ccccc2Br)[C@H](c2ccccc2)O1,100.0,0.0,0.0,3,1,Ki,CHEMBL363743,"CHEMBL1137156,CHEMBL5244275"
CC1(C)OC[C@H](NC(=O)Nc2ccccc2)[C@H](c2ccccc2)O1,501.19,0.0,0.0,1,0,Ki,CHEMBL360377,CHEMBL1137156
CC1(C)OC[C@H](NC(=O)Nc2cccc(Br)c2)[C@H](c2ccccc2)O1,1000.0,0.0,0.0,1,0,Ki,CHEMBL185080,CHEMBL1137156
CC1(C)OC[C@H](NC(=O)Nc2ccc(Br)cc2)[C@H](c2ccccc2)O1,251.19,0.0,0.0,1,0,Ki,CHEMBL184936,CHEMBL1137156
CC1(C)OC[C@H](NC(=O)Nc2ccc(Br)cc2Br)[C@H](c2ccccc2)O1,5.259,0.4278165494695129,0.21390827473475646,5,1,Ki,CHEMBL359632,"CHEMBL1137156,CHEMBL2412971,CHEMBL3585263,CHEMBL5244275"
O=C(Nc1ccccc1-n1cccc1)[C@@H]1CCCN1C(=O)CSc1nc2ccccc2[nH]1,1.0,0.0,0.0,2,0,Ki,CHEMBL403259,"CHEMBL1140924,CHEMBL1143219"
Cn1c(CCC(=O)N2CCC[C@H]2C(=O)Nc2ccccc2-c2ccccc2)nc2ccccc21,0.8,0.0,0.0,1,0,Ki,CHEMBL445161,CHEMBL1143219
Cn1c(SCC(=O)N2CCC[C@H]2C(=O)Nc2ccccc2-c2ccccc2)nc2ccccc21,0.2,0.0,0.0,2,0,Ki,CHEMBL429848,"CHEMBL1143219,CHEMBL4428072"
Cc1ccc2nc(SCC(=O)N3CCC[C@H]3C(=O)Nc3ccccc3-n3cccc3)n(C)c2c1,0.1,0.0,0.0,1,0,Ki,CHEMBL255763,CHEMBL1143219
Cc1ccc2c(c1)nc(SCC(=O)N1CCC[C@H]1C(=O)Nc1ccccc1-n1cccc1)n2C,0.09,0.0,0.0,1,0,Ki,CHEMBL272715,CHEMBL1143219
Cc1ccc2[nH]c(SCC(=O)N3CCC[C@H]3C(=O)Nc3ccccc3-n3cccc3)nc2c1,0.2,0.0,0.0,1,0,Ki,CHEMBL401653,CHEMBL1143219
O=C(Nc1ccccc1-n1cccc1)[C@@H]1CCCN1C(=O)CSc1nc2ccccc2o1,8.0,0.0,0.0,1,0,Ki,CHEMBL404343,CHEMBL1143219
