BindingDB_ID,smiles,value,standard_type
51216850,CC(=O)Nc1nnc(s1)S(N)(=O)=O,0.06,Ki (nM)
51309702,NS(=O)(=O)c1cc(cs1)-c1nc(no1)C1CC1,0.089,Ki (nM)
50822698,CCOc1nc(Nc2ccc(cc2)S(N)(=O)=O)nc(OCC)n1,0.12,Ki (nM)
51266030,NS(=O)(=O)c1nnc(NC(=O)Nc2ccc(Cl)c(c2)C(F)(F)F)s1,0.13,Ki (nM)
51309659,COc1ccccc1-c1noc(n1)-c1csc(c1)S(N)(=O)=O,0.13,Ki (nM)
50652816,NS(=O)(=O)c1ccc(Nc2nc(Cl)nc(Cl)n2)cc1,0.15,Ki (nM)
50445657,NS(=O)(=O)c1ccc(Nc2nc(Cl)nc(Cl)n2)cc1,0.15,Ki (nM)
50822715,NS(=O)(=O)c1ccc(Nc2nc(Cl)nc(Cl)n2)cc1,0.15,Ki (nM)
51230064,COC(=O)c1nn(-c2ccc(cc2)S(N)(=O)=O)c2nc3cc(cc(-c4ccc(cc4)[N+]([O-])=O)c3c(=O)n12)-c1cccs1,0.16,Ki (nM)
50467426,NS(=O)(=O)c1ccc(cc1)-c1ccc2[nH]ccc2c1,0.17,Ki (nM)
50467422,NS(=O)(=O)c1ccc(cc1)-c1cnc2ccccc2c1,0.18,Ki (nM)
51459297,NS(=O)(=O)c1ccc(N\C=C\C(=O)c2ccc(cc2)[N+]([O-])=O)cc1,0.21,Ki (nM)
51459296,COc1ccc(cc1)C(=O)\C=C\Nc1ccc(cc1)S(N)(=O)=O,0.21,Ki (nM)
51459299,NS(=O)(=O)c1ccc(N\C=C\C(=O)c2ccco2)cc1,0.21,Ki (nM)
51459298,NS(=O)(=O)c1ccc(N\C=C\C(=O)c2ccc3ccccc3c2)cc1,0.21,Ki (nM)
51459300,NS(=O)(=O)c1ccc(N\C=C\C(=O)c2cccs2)cc1,0.21,Ki (nM)
51459291,NS(=O)(=O)c1ccc(N\C=C\C(=O)c2ccccc2)cc1,0.21,Ki (nM)
50467337,NS(=O)(=O)c1ccc(cc1)-c1ccccc1,0.21,Ki (nM)
50467454,NS(=O)(=O)c1ccc(cc1)-c1cc2ccccc2s1,0.21,Ki (nM)
51459293,NS(=O)(=O)c1ccc(N\C=C\C(=O)c2ccc(Cl)cc2)cc1,0.21,Ki (nM)
51459292,NS(=O)(=O)c1ccc(N\C=C\C(=O)c2ccc(F)cc2)cc1,0.21,Ki (nM)
51459295,Cc1ccc(cc1)C(=O)\C=C\Nc1ccc(cc1)S(N)(=O)=O,0.21,Ki (nM)
51459294,NS(=O)(=O)c1ccc(N\C=C\C(=O)c2ccc(Br)cc2)cc1,0.21,Ki (nM)
50467341,NS(=O)(=O)c1ccc(cc1)-c1ccc2ccccc2c1,0.22,Ki (nM)
