smiles,standard_type,mean,std,sem,n,n_outliers,BindingDB_IDs
Brc1ccc(CN2C(=O)c3ccccc3S2(=O)=O)cc1,Ki (nM),22.0,0.0,0.0,1,0,50463118
Brc1ccc(COc2ccc3c(CN4CCN(Cc5ccccc5)CC4)cc(=O)oc3c2)cc1,Ki (nM),580.0,0.0,0.0,1,0,51394850
Brc1ccc(NC(=O)\C=C\c2sc(nc2-c2ccccc2)N2CCOCC2)cc1,Ki (nM),,,,0,0,51266168
Brc1ccc(OCc2cn(CCCOc3ccc4ccc(=O)oc4c3)nn2)c(C=O)c1,Ki (nM),196.0,0.0,0.0,1,0,51229003
Brc1ccc(cc1)-c1nn(cc1-c1nc2ccccc2[nH]1)-c1ccccc1,Ki (nM),55.0,0.0,0.0,1,0,50498935
Brc1ccc2NC(=O)NS(=O)(=O)c2c1,Ki (nM),31.0,0.0,0.0,1,0,51273552
Brc1ccc2OS(=O)(=O)C=Cc2c1,Ki (nM),6830.0,0.0,0.0,1,0,51045597
Brc1ccc2oc(=O)c(cc2c1)C(=O)CS(=O)(=O)c1ccccc1,Ki (nM),77.0,0.0,0.0,1,0,51376715
Brc1ccc2oc(=O)c(cc2c1)C(\CS(=O)(=O)c1ccccc1)=N\NC(=O)c1ccccc1,Ki (nM),8860.0,0.0,0.0,1,0,51376722
Brc1ccc2oc(=O)c(cc2c1)C(\CS(=O)(=O)c1ccccc1)=N\Nc1ccccc1,Ki (nM),4640.0,0.0,0.0,1,0,51376719
Brc1ccc2oc(NC(=O)Nc3ccc(cc3)S(=O)(=O)Nc3nccs3)cc2c1,Ki (nM),930.0,0.0,0.0,1,0,51408985
Brc1cccc(CN2C(=O)c3ccccc3S2(=O)=O)c1,Ki (nM),360.0,0.0,0.0,1,0,51208207
Brc1cccc(COC2=NS(=O)(=O)c3ccccc23)c1,Ki (nM),,,,0,0,51208122
Brc1cccc(COc2ccc3c(CN4CCN(Cc5ccccc5)CC4)cc(=O)oc3c2)c1,Ki (nM),850.0,0.0,0.0,1,0,51394851
Brc1cccc(c1)-n1cc(COc2ccc3ccc(=O)oc3c2)nn1,Ki (nM),28.0,0.0,0.0,1,0,50425569
Brc1cccc(c1)-n1nnnc1-c1ccc2OS(=O)(=O)C=Cc2c1,Ki (nM),57.0,0.0,0.0,1,0,51205763
Brc1cccc(c1)C(=O)Nc1ccc2C(=O)NS(=O)(=O)c2c1,Ki (nM),665.0,0.0,0.0,2,0,51313060;51313106
Brc1cccc(c1)C(=O)Nc1ccc2c(c1)C(=O)NS2(=O)=O,Ki (nM),32.0,0.0,0.0,2,0,51313064;51313110
Brc1cccc(c1)C(=O)Nc1cccc2c1C(=O)NS2(=O)=O,Ki (nM),31.0,0.0,0.0,2,0,51313065;51313111
Brc1cccc2c1NC(=O)NS2(=O)=O,Ki (nM),73.0,0.0,0.0,1,0,51273593
Brc1cccc2ccc(=O)[nH]c12,Ki (nM),23.0,0.0,0.0,1,0,51121512
Brc1ccccc1C(=O)Nc1ccc2OS(=O)(=O)C=Cc2c1,Ki (nM),9.7,0.0,0.0,1,0,50337581
Brc1ccccc1CC(=O)Oc1ccc2C=CS(=O)(=O)Oc2c1,Ki (nM),,,,0,0,51196758
Brc1ccccc1CC(=O)Oc1ccc2CCS(=O)(=O)Oc2c1,Ki (nM),,,,0,0,51196777
