BindingDB_ID,smiles,value,standard_type,CuratedSmiles,IsSalt,FailedSanit,Neutralized
51216850,CC(=O)Nc1nnc(s1)S(N)(=O)=O,0.06,Ki (nM),CC(=O)Nc1nnc(S(N)(=O)=O)s1,False,False,False
51309702,NS(=O)(=O)c1cc(cs1)-c1nc(no1)C1CC1,0.089,Ki (nM),NS(=O)(=O)c1cc(-c2nc(C3CC3)no2)cs1,False,False,False
50822698,CCOc1nc(Nc2ccc(cc2)S(N)(=O)=O)nc(OCC)n1,0.12,Ki (nM),CCOc1nc(Nc2ccc(S(N)(=O)=O)cc2)nc(OCC)n1,False,False,False
51266030,NS(=O)(=O)c1nnc(NC(=O)Nc2ccc(Cl)c(c2)C(F)(F)F)s1,0.13,Ki (nM),NS(=O)(=O)c1nnc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)s1,False,False,False
51309659,COc1ccccc1-c1noc(n1)-c1csc(c1)S(N)(=O)=O,0.13,Ki (nM),COc1ccccc1-c1noc(-c2csc(S(N)(=O)=O)c2)n1,False,False,False
50652816,NS(=O)(=O)c1ccc(Nc2nc(Cl)nc(Cl)n2)cc1,0.15,Ki (nM),NS(=O)(=O)c1ccc(Nc2nc(Cl)nc(Cl)n2)cc1,False,False,False
50445657,NS(=O)(=O)c1ccc(Nc2nc(Cl)nc(Cl)n2)cc1,0.15,Ki (nM),NS(=O)(=O)c1ccc(Nc2nc(Cl)nc(Cl)n2)cc1,False,False,False
50822715,NS(=O)(=O)c1ccc(Nc2nc(Cl)nc(Cl)n2)cc1,0.15,Ki (nM),NS(=O)(=O)c1ccc(Nc2nc(Cl)nc(Cl)n2)cc1,False,False,False
51230064,COC(=O)c1nn(-c2ccc(cc2)S(N)(=O)=O)c2nc3cc(cc(-c4ccc(cc4)[N+]([O-])=O)c3c(=O)n12)-c1cccs1,0.16,Ki (nM),COC(=O)c1nn(-c2ccc(S(N)(=O)=O)cc2)c2nc3cc(-c4cccs4)cc(-c4ccc([N+](=O)[O-])cc4)c3c(=O)n12,False,False,False
50467426,NS(=O)(=O)c1ccc(cc1)-c1ccc2[nH]ccc2c1,0.17,Ki (nM),NS(=O)(=O)c1ccc(-c2ccc3[nH]ccc3c2)cc1,False,False,False
50467422,NS(=O)(=O)c1ccc(cc1)-c1cnc2ccccc2c1,0.18,Ki (nM),NS(=O)(=O)c1ccc(-c2cnc3ccccc3c2)cc1,False,False,False
51459297,NS(=O)(=O)c1ccc(N\C=C\C(=O)c2ccc(cc2)[N+]([O-])=O)cc1,0.21,Ki (nM),NS(=O)(=O)c1ccc(N/C=C/C(=O)c2ccc([N+](=O)[O-])cc2)cc1,False,False,False
51459296,COc1ccc(cc1)C(=O)\C=C\Nc1ccc(cc1)S(N)(=O)=O,0.21,Ki (nM),COc1ccc(C(=O)/C=C/Nc2ccc(S(N)(=O)=O)cc2)cc1,False,False,False
51459299,NS(=O)(=O)c1ccc(N\C=C\C(=O)c2ccco2)cc1,0.21,Ki (nM),NS(=O)(=O)c1ccc(N/C=C/C(=O)c2ccco2)cc1,False,False,False
51459298,NS(=O)(=O)c1ccc(N\C=C\C(=O)c2ccc3ccccc3c2)cc1,0.21,Ki (nM),NS(=O)(=O)c1ccc(N/C=C/C(=O)c2ccc3ccccc3c2)cc1,False,False,False
51459300,NS(=O)(=O)c1ccc(N\C=C\C(=O)c2cccs2)cc1,0.21,Ki (nM),NS(=O)(=O)c1ccc(N/C=C/C(=O)c2cccs2)cc1,False,False,False
51459291,NS(=O)(=O)c1ccc(N\C=C\C(=O)c2ccccc2)cc1,0.21,Ki (nM),NS(=O)(=O)c1ccc(N/C=C/C(=O)c2ccccc2)cc1,False,False,False
50467337,NS(=O)(=O)c1ccc(cc1)-c1ccccc1,0.21,Ki (nM),NS(=O)(=O)c1ccc(-c2ccccc2)cc1,False,False,False
50467454,NS(=O)(=O)c1ccc(cc1)-c1cc2ccccc2s1,0.21,Ki (nM),NS(=O)(=O)c1ccc(-c2cc3ccccc3s2)cc1,False,False,False
51459293,NS(=O)(=O)c1ccc(N\C=C\C(=O)c2ccc(Cl)cc2)cc1,0.21,Ki (nM),NS(=O)(=O)c1ccc(N/C=C/C(=O)c2ccc(Cl)cc2)cc1,False,False,False
51459292,NS(=O)(=O)c1ccc(N\C=C\C(=O)c2ccc(F)cc2)cc1,0.21,Ki (nM),NS(=O)(=O)c1ccc(N/C=C/C(=O)c2ccc(F)cc2)cc1,False,False,False
51459295,Cc1ccc(cc1)C(=O)\C=C\Nc1ccc(cc1)S(N)(=O)=O,0.21,Ki (nM),Cc1ccc(C(=O)/C=C/Nc2ccc(S(N)(=O)=O)cc2)cc1,False,False,False
51459294,NS(=O)(=O)c1ccc(N\C=C\C(=O)c2ccc(Br)cc2)cc1,0.21,Ki (nM),NS(=O)(=O)c1ccc(N/C=C/C(=O)c2ccc(Br)cc2)cc1,False,False,False
50467341,NS(=O)(=O)c1ccc(cc1)-c1ccc2ccccc2c1,0.22,Ki (nM),NS(=O)(=O)c1ccc(-c2ccc3ccccc3c2)cc1,False,False,False
51309658,NS(=O)(=O)c1cc(cs1)-c1nc(no1)-c1ccccc1,0.24,Ki (nM),NS(=O)(=O)c1cc(-c2nc(-c3ccccc3)no2)cs1,False,False,False
50467445,NS(=O)(=O)c1ccc(cc1)-c1cn(c2ccccc12)S(=O)(=O)c1ccccc1,0.24,Ki (nM),NS(=O)(=O)c1ccc(-c2cn(S(=O)(=O)c3ccccc3)c3ccccc23)cc1,False,False,False
51283143,Cc1nn(-c2ccc(cc2)S(N)(=O)=O)c(=O)c2ccccc12,0.24,Ki (nM),Cc1nn(-c2ccc(S(N)(=O)=O)cc2)c(=O)c2ccccc12,False,False,False
51197586,COc1ccc(CC(=O)NCCc2ccc(cc2)S(N)(=O)=O)cc1,0.25,Ki (nM),COc1ccc(CC(=O)NCCc2ccc(S(N)(=O)=O)cc2)cc1,False,False,False
50629591,NS(=O)(=O)c1ccc(NC(=O)Nc2ccccc2C#N)cc1,0.3,Ki (nM),N#Cc1ccccc1NC(=O)Nc1ccc(S(N)(=O)=O)cc1,False,False,False
430185,NS(=O)(=O)c1ccc(NC(=O)Nc2ccccc2C#N)cc1,0.3,Ki (nM),N#Cc1ccccc1NC(=O)Nc1ccc(S(N)(=O)=O)cc1,False,False,False
51197517,COc1ccc(CC(=O)Nc2nnc(s2)S(N)(=O)=O)cc1,0.31,Ki (nM),COc1ccc(CC(=O)Nc2nnc(S(N)(=O)=O)s2)cc1,False,False,False
51309663,NS(=O)(=O)c1ccc(cc1)-c1noc(n1)-c1ccccn1,0.31,Ki (nM),NS(=O)(=O)c1ccc(-c2noc(-c3ccccn3)n2)cc1,False,False,False
