smiles,bindingdb_id,exp_mean [nM],class
NCCc1c[nH]c2ccc(C(N)=O)cc12,160237;160238;162645;162646;162647;162648;162649;162650;162651;163297;170497;170498;170687;172860;174129;174130;174131;174186;174187;174867;38664;50154801;50224040;50289732;50387109;50433183;50812826;50963770;51060508;51155827;51157902;51157928;51397915,0.7347609696969697,True
NCCc1cc2cc(C(N)=O)ccc2[nH]1,1423530,0.03,True
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,154129,0.1,True
O=S(=O)(NCCCCN1CCN(c2noc3ccccc23)CC1)c1ccc(F)c(Cl)c1,50102327,0.1,True
NCCc1c[nH]c2ccc(O)cc12,159682;160239;160240;162652;162653;162654;162655;162656;162657;162658;163298;170499;170500;170647;170688;174132;174133;174134;174135;174188;174189;174868;178035;178472;178473;50096612;50102143;50204561;50311085;50387093;50534649;50701698;50812847;50812849;50923260;51157897;51157913;51249149;51315522;51315539;51452685,3.646403902439024,True
CCN(CCCN1CCN(c2noc3cc(F)ccc23)CC1)S(=O)(=O)C(C)CO,1170878,0.1,True
N#Cc1ccc(CNC(=O)CCCCCN2CCN(c3ccccc3-c3ccccc3)CC2)cc1,1423532;50081699;50433120;50520277;50958805;50963754;50963755;51205648;51205660,5.334444444444444,True
O=C(CCCCCN1CCN(c2ccccc2-c2ccccc2)CC1)NC1CCCc2ccccc21,38655,0.13,True
Cc1ccc2c(c1)c1c(n2CCc2ccccc2)CCN(C)C1,51064018;51463191,0.153,True
O=S(=O)(c1ccccc1F)N1CCC[C@@H]1CCCN1CCN(c2ccccn2)CC1,51463764,0.17,True
O=C(c1ccc(F)cc1)C1CCN(CCCCn2c(=O)[nH]c3ccccc32)CC1,1423476,0.2,True
C[C@H](Nc1ccnc(NCCOc2ccc(F)cc2)c1)c1ccccc1,50276119,0.2,True
Cc1c(S(=O)(=O)NCCCCN2CCC(c3noc4cc(F)ccc34)CC2)sc2ccc(F)cc12,50102389,0.2,True
