smiles,chembl_id,exp_mean [nM],class
Nc1ccc(S(N)(=O)=O)cc1I,CHEMBL268177,6000.0,False
NS(=O)(=O)c1ccc(NC(S)=NC(Cc2c[nH]cn2)C(=O)NCC(=O)O)cc1,CHEMBL148167,13.0,True
NS(=O)(=O)c1ccc(N/C(S)=N\CCc2ccccc2)cc1,CHEMBL358290,125.0,False
NS(=O)(=O)c1ccc(N/C(S)=N\CCc2c[nH]cn2)cc1,CHEMBL148426,92.0,True
NS(=O)(=O)c1ccc(N/C(S)=N\c2ccccc2C(=O)O)cc1,CHEMBL144766,55.0,True
NS(=O)(=O)c1ccc(N/C(S)=N/C(CCC(=O)O)C(=O)O)cc1,CHEMBL356059,38.0,True
NS(=O)(=O)c1ccc(N/C(S)=N/C(Cc2c[nH]c3ccccc23)C(=O)O)cc1,CHEMBL144970,47.0,True
CC(O)C(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O,CHEMBL144186,30.0,True
CC(/N=C(/S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O,CHEMBL144982,54.0,True
NS(=O)(=O)c1ccc(NC(=S)N2CCC[C@H]2C(=O)NCC(=O)NCC(=O)O)cc1,CHEMBL2370954,20.0,True
NC(=O)CC(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O,CHEMBL144006,27.0,True
NS(=O)(=O)c1ccc(N/C(S)=N/C(Cc2ccc(O)cc2)C(=O)O)cc1,CHEMBL344132,26.0,True
CCC(C)C(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O,CHEMBL147385,22.0,True
Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,CHEMBL865,54000.0,False
NS(=O)(=O)c1ccc(N/C(S)=N\Cc2ccccn2)cc1,CHEMBL144667,135.0,False
NS(=O)(=O)c1ccc(N/C(S)=N/C(Cc2ccccc2)C(=O)O)cc1,CHEMBL144122,30.0,True
NS(=O)(=O)c1ccc(N/C(S)=N\c2cccc(C(=O)O)c2)cc1,CHEMBL344316,50.0,True
CC(/N=C(/S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)NC(Cc1ccccc1)C(=O)O,CHEMBL148387,23.0,True
NS(=O)(=O)c1ccc(N/C(S)=N/C(CC(=O)O)C(=O)O)cc1,CHEMBL147726,35.0,True
Nc1ccc(S(N)(=O)=O)cc1Cl,CHEMBL7092,9800.0,False
NS(=O)(=O)c1ccc(N/C(S)=N/C(CO)C(=O)O)cc1,CHEMBL148069,28.0,True
NS(=O)(=O)c1ccc(NC(=S)N2CCCC2C(=O)O)cc1,CHEMBL144537,110.0,False
NS(=O)(=O)c1ccc(N/C(S)=N\CCC(=O)O)cc1,CHEMBL421940,47.0,True
CSCCC(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O,CHEMBL357601,27.0,True
NC(=O)CCC(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O,CHEMBL421767,40.0,True
Nc1ccc(S(N)(=O)=O)cc1F,CHEMBL6853,8300.0,False
NS(=O)(=O)c1ccc(N/C(S)=N/CC(=O)NCC(=O)O)cc1,CHEMBL342088,54.0,True
CC(C)CC(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)NCC(=O)O,CHEMBL144786,20.0,True
NS(=O)(=O)c1ccc(N/C(S)=N\c2ccc(C(=O)O)cc2)cc1,CHEMBL145256,59.0,True
NS(=O)(=O)c1ccc(N/C(S)=N\CC(=O)O)cc1,CHEMBL356322,62.0,True
CC(C)CC(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O,CHEMBL342050,21.0,True
NS(=O)(=O)c1ccc(N/C(S)=N\CCCC(=O)O)cc1,CHEMBL144322,45.0,True
NS(=O)(=O)c1ccc(N/C(S)=N/C(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)O)cc1,CHEMBL357388,50.0,True
NS(=O)(=O)c1ccc(NC(=S)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)O)cc1,CHEMBL3143261,59.0,True
NCCCCC(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O,CHEMBL357475,97.0,True
NS(=O)(=O)c1ccc(N/C(S)=N/CCC(=O)NC(Cc2c[nH]cn2)C(=O)O)cc1,CHEMBL144352,23.0,True
CC(C)C(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O,CHEMBL146887,23.0,True
NS(=O)(=O)c1ccc(N/C(S)=N/C(C(=O)O)c2ccccc2)cc1,CHEMBL144383,40.0,True
NS(=O)(=O)c1ccc(N/C(S)=N/C(CS)C(=O)O)cc1,CHEMBL144716,25.0,True
NS(=O)(=O)c1ccc(N/C(S)=N/C(Cc2ccc(O)c(O)c2)C(=O)O)cc1,CHEMBL143992,35.0,True
NS(=O)(=O)c1ccc(N=C=S)cc1,CHEMBL144818,5000.0,False
Nc1ccccc1S(N)(=O)=O,CHEMBL6705,45400.0,False
N=C(N)NCCCC(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O,CHEMBL344757,115.0,False
NS(=O)(=O)c1ccc(N/C(S)=N/C(C(=O)O)C(O)c2ccccc2)cc1,CHEMBL144946,24.0,True
NS(=O)(=O)c1ccc(N/C(S)=N/C(Cc2c[nH]cn2)C(=O)O)cc1,CHEMBL144301,32.0,True
NS(=O)(=O)c1ccc(NC(S)=NC(Cc2c[nH]cn2)C(=O)NC(Cc2ccccc2)C(=O)O)cc1,CHEMBL143891,21.0,True
NS(=O)(=O)c1ccc(N/C(S)=N\CCc2ccccn2)cc1,CHEMBL143033,124.0,False
C[C@]12CC[C@@H]3c4ccc(OS(N)(=O)=O)cc4CC[C@H]3[C@@H]1CCC2=O,CHEMBL122708,37.0,True
COCCOC(=O)c1ccc(S(=O)(=O)/N=c2/sc(S(N)(=O)=O)nn2C)cc1,CHEMBL96020,16.0,True
NS(=O)(=O)c1nnc(NS(=O)(=O)c2cccc(C(=O)O)c2)s1,CHEMBL97141,68.0,True
CN(C)CCOCCOC(=O)c1ccc(S(=O)(=O)/N=c2/sc(S(N)(=O)=O)nn2C)cc1,CHEMBL95545,13.0,True
CC(CN(C)C)OC(=O)c1cccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)c1,CHEMBL265261,17.0,True
COCCOC(=O)c1cccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)c1,CHEMBL319110,15.0,True
CN(C)CCOC(=O)c1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1,CHEMBL98389,11.0,True
CN(C)CCOCCOC(=O)c1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1,CHEMBL418783,12.0,True
