smiles,chembl_id,exp_mean [nM],class
Cc1nc(C)c(-c2ccnc(Nc3ccc(O)cc3)n2)s1,CHEMBL442957,140.0,False
Cc1nc(C)c(-c2ccnc(Nc3ccccc3F)n2)s1,CHEMBL297447,1200.0,False
CNc1nc(C)c(-c2ccnc(Nc3cccc(O)c3)n2)s1,CHEMBL44119,110.0,False
Cc1nc(C)c(-c2ccnc(Nc3cccc(C#N)c3)n2)s1,CHEMBL47132,300.0,False
Cc1nc(C)c(-c2ccnc(Nc3cccc(N)c3)n2)s1,CHEMBL47636,400.0,False
Cc1nc(C)c(-c2ccnc(Nc3ccc(N(C)C)c(Cl)c3)n2)s1,CHEMBL433068,100.0,False
Cc1nc(N)sc1-c1ccnc(Nc2ccc(O)cc2)n1,CHEMBL431336,30.0,True
Cc1nc(C)c(-c2ccnc(Nc3cccc(O)c3)n2)s1,CHEMBL47527,60.0,True
Cc1nc(N)sc1-c1ccnc(Nc2cccc([N+](=O)[O-])c2)n1,CHEMBL298445,2.0,True
Cc1nc(N)sc1-c1ccnc(Nc2ccc(N(C)C)cc2)n1,CHEMBL295398,700.0,False
CNc1nc(C)c(-c2ccnc(Nc3cccc([N+](=O)[O-])c3)n2)s1,CHEMBL46429,800.0,False
Cc1nc(C)c(-c2ccnc(Nc3ccccc3)n2)s1,CHEMBL295127,80.0,True
CNc1nc(C)c(-c2ccnc(Nc3ccc(O)cc3)n2)s1,CHEMBL47590,70.0,True
Cc1nc(C)c(-c2ccnc(Nc3ccc(N(C)C)c([N+](=O)[O-])c3)n2)s1,CHEMBL295484,20.0,True
Cc1nc(C)c(-c2ccnc(Nc3ccc(C(F)(F)F)cc3)n2)s1,CHEMBL48109,290.0,False
Cc1nc(C)c(-c2ccnc(Nc3cccc(F)c3)n2)s1,CHEMBL432116,100.0,False
Cc1nc(N(C)C)sc1-c1ccnc(Nc2cccc([N+](=O)[O-])c2)n1,CHEMBL46401,60.0,True
Cc1nc(C)c(-c2ccnc(Nc3ccc(Cl)cc3)n2)s1,CHEMBL45001,2500.0,False
Cc1nc(C)c(-c2ccnc(Nc3ccc([N+](=O)[O-])cc3)n2)s1,CHEMBL47690,4100.0,False
Cc1nc(C)c(-c2ccnc(Nc3ccc(F)cc3)n2)s1,CHEMBL297412,40.0,True
C=CCNc1nc(C)c(-c2ccnc(Nc3cccc([N+](=O)[O-])c3)n2)s1,CHEMBL47249,160.0,False
Cc1nc(C)c(-c2ccnc(Nc3cccc(Cl)c3)n2)s1,CHEMBL44712,670.0,False
Cc1nc(C)c(-c2ccnc(Nc3cccc([N+](=O)[O-])c3)n2)s1,CHEMBL45408,110.0,False
Nc1nc(N)c(N=O)c(OCC2CCCCC2)n1,CHEMBL303958,1300.0,False
c1ccc(Nc2nccc(-c3c(C4CC4)nn4ncccc34)n2)cc1,CHEMBL362296,3980.0,False
Cc1[nH]c(C(N)=O)c(C)c1-c1ccnc(Nc2ccc(F)cc2)n1,CHEMBL362722,80.0,True
Cc1[nH]c([N+](=O)[O-])c(C)c1-c1ccnc(Nc2ccc(F)cc2)n1,CHEMBL364767,30.0,True
Cc1[nH]c(Cl)c(C)c1-c1ccnc(Nc2ccc(F)cc2)n1,CHEMBL365245,360.0,False
Cc1[nH]c(Br)c(C)c1-c1ccnc(Nc2ccc(F)cc2)n1,CHEMBL185099,270.0,False
