Descriptor,Model,RMSE,Cliff_RMSE,Rank
ECFP,SVM,0.6669072142655017,0.7081613690668581,1
ECFP,RF,0.6878567595309988,0.7421207394764058,2
ECFP,GBM,0.7044927066393145,0.7692182752745846,3
ECFP,KNN,0.7229462186543011,0.7923846757009584,4
MACCS,GBM,0.7474806676254081,0.7995992940222723,5
MACCS,RF,0.7621721905074397,0.8195235523905965,6
MACCS,SVM,0.7696921894385995,0.841527262859207,7
MACCS,KNN,0.8156013700485972,0.8667917922968937,8
PHYSCHEM,GBM,0.8527275403381214,0.8910180087257393,9
PHYSCHEM,RF,0.8418342357102903,0.8916003986790403,10
PHYSCHEM,SVM,0.8972950691682998,0.8938365090478914,11
PHYSCHEM,KNN,0.8689476335435347,0.90265396198604,12
WHIM,RF,0.9887738891707588,1.087085466713766,13
WHIM,SVM,0.9918659150926008,1.0924815660312324,14
WHIM,GBM,1.0014185072375779,1.0950221671464915,15
WHIM,KNN,1.0290849721033397,1.1064553348912243,16
