Descriptor,Model,RMSE,Cliff_RMSE,Rank
ECFP,SVM,1.0737165819268872,1.0780095887479257,1
ECFP,RF,1.029906357325331,1.1409151627863199,2
ECFP,GBM,1.0485518612279674,1.1521788683349237,3
PHYSCHEM,SVM,1.222196473049992,1.170711213892464,4
PHYSCHEM,GBM,1.1725210047274,1.3186799515150212,5
ECFP,KNN,1.047025832237675,1.3255666772655987,6
MACCS,GBM,1.0760756999911514,1.4071004008261256,7
MACCS,RF,1.063194571795911,1.4541022371281958,8
MACCS,KNN,1.0210891830425526,1.4731567203535199,9
WHIM,GBM,1.3859353294095327,1.4817437864290302,10
MACCS,SVM,1.0901361970293546,1.5100092638471028,11
PHYSCHEM,RF,1.146470017514018,1.5191792507683701,12
WHIM,RF,1.4394086167473985,1.5823094202010233,13
PHYSCHEM,KNN,1.2030307118812624,1.679428355722491,14
WHIM,SVM,1.5901266728864187,1.7059912174596583,15
WHIM,KNN,1.5081886980742008,1.768662890378291,16
