Descriptor,Model,RMSE,Cliff_RMSE,Rank
ECFP,SVM,0.6997829573998803,0.710978416722424,1
ECFP,GBM,0.7471036779628831,0.7519639894626653,2
ECFP,RF,0.7296053826437283,0.7572203909765276,3
MACCS,GBM,0.8226857226464258,0.819039731674625,4
MACCS,SVM,0.8423571972660383,0.85090088481908,5
ECFP,KNN,0.8000910761364715,0.8901292847705892,6
MACCS,RF,0.87433068381469,0.89988202387825,7
PHYSCHEM,GBM,0.940123450331304,0.9927512096828477,8
MACCS,KNN,0.9683579444714506,0.9994254694783226,9
PHYSCHEM,KNN,0.9499918896101285,1.0057362741523972,10
PHYSCHEM,RF,0.9475962198333114,1.020235492040007,11
PHYSCHEM,SVM,0.9621819040892133,1.024620290281608,12
WHIM,RF,1.1208744735344875,1.1498060116794684,13
WHIM,KNN,1.2541080623100727,1.1941641797655245,14
WHIM,GBM,1.1419567912520872,1.1961307179540503,15
WHIM,SVM,1.2201001367684283,1.255497742226029,16
