Descriptor,Model,RMSE,Cliff_RMSE,Rank
ECFP,SVM,0.7439781048954196,0.6295481478266114,1
PHYSCHEM,SVM,0.8932202030891805,0.6470958140223269,2
PHYSCHEM,KNN,0.8021151053491291,0.6607554006237502,3
PHYSCHEM,RF,0.7353978859487699,0.6845205310366417,4
MACCS,SVM,0.7590787315440167,0.6885208255164162,5
MACCS,RF,0.74978584581782,0.7115506139724889,6
ECFP,RF,0.7177207236880405,0.711894689496539,7
PHYSCHEM,GBM,0.7576146524436322,0.714024192678929,8
MACCS,KNN,0.8407316358636076,0.7372952381369711,9
ECFP,GBM,0.7415635791449938,0.7411884226257093,10
MACCS,GBM,0.8039003326454369,0.7609722802893502,11
ECFP,KNN,0.723320784350331,0.763594362683271,12
WHIM,RF,0.8135902334153093,0.8814245048959828,13
WHIM,SVM,0.8707063185963505,0.8943149471626731,14
WHIM,KNN,0.8781250304133136,0.9382828774773018,15
WHIM,GBM,0.8945476510714581,0.9473641236155361,16
