BindingDB_ID,smiles,value,standard_type,pIC50,CuratedSmiles,IsSalt,FailedSanit
50036138,CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2=O,300.0,IC50(nM),6.522878745280337,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,False,False
16624,C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C)C1CCC2=O,300.0,IC50(nM),6.522878745280337,C[C@]12CCC(=O)C=C1CCC1C2CC[C@]2(C)C(=O)CCC12,False,False
50744234,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,,IC50(nM),,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,False,False
16610,C[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)C=CC(=O)C=C12,620.0,IC50(nM),6.2076083105017466,C[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,False,False
16611,CC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)C=CC(=O)C=C12,250.0,IC50(nM),6.6020599913279625,CC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,False,False
16612,CCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)C=CC(=O)C=C12,270.0,IC50(nM),6.568636235841013,CCC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,False,False
16613,CCCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)C=CC(=O)C=C12,200.0,IC50(nM),6.698970004336019,CCCC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,False,False
16614,CCCCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)C=CC(=O)C=C12,140.0,IC50(nM),6.853871964321762,CCCCC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,False,False
16615,CCCCCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)C=CC(=O)C=C12,280.0,IC50(nM),6.552841968657781,CCCCCC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,False,False
16616,CCCCCCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)C=CC(=O)C=C12,250.0,IC50(nM),6.6020599913279625,CCCCCCC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,False,False
16617,C[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)C=CC(=O)C=C12,520.0,IC50(nM),6.2839966563652006,C[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,False,False
16618,CC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)C=CC(=O)C=C12,54.0,IC50(nM),7.267606240177032,CC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,False,False
16619,CCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)C=CC(=O)C=C12,60.0,IC50(nM),7.221848749616356,CCC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,False,False
16620,CCCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)C=CC(=O)C=C12,180.0,IC50(nM),6.7447274948966935,CCCC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,False,False
16621,CCCCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)C=CC(=O)C=C12,54.0,IC50(nM),7.267606240177032,CCCCC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,False,False
16622,CCCCCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)C=CC(=O)C=C12,76.0,IC50(nM),7.119186407719209,CCCCCC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,False,False
16623,CCCCCCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)C=CC(=O)C=C12,60.0,IC50(nM),7.221848749616356,CCCCCCC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,False,False
16625,CC12CCC3C(CCC4=CC(=O)C=CC34C)C1CCC2=O,530.0,IC50(nM),6.275724130399211,CC12C=CC(=O)C=C1CCC1C2CCC2(C)C(=O)CCC12,False,False
16626,C[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,37.0,IC50(nM),7.431798275933005,C[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,False,False
16627,CC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,110.0,IC50(nM),6.958607314841775,CC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,False,False
16628,CCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,230.0,IC50(nM),6.638272163982407,CCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,False,False
16629,CCCCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,9000.0,IC50(nM),5.045757490560675,CCCCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,False,False
16630,CCCCCCCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,,IC50(nM),,CCCCCCCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,False,False
16631,C[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,49.0,IC50(nM),7.309803919971486,C[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,False,False
16632,CC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,320.0,IC50(nM),6.494850021680094,CC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,False,False
16633,CCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,440.0,IC50(nM),6.356547323513812,CCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,False,False
16634,CCCCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,12000.0,IC50(nM),4.920818753952375,CCCCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,False,False
16635,CCCCCCCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,,IC50(nM),,CCCCCCCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12,False,False
16636,CC12CCC3C(C[C@H](O)C4=CCCCC34C)C1CCC2=O,190.0,IC50(nM),6.721246399047171,CC12CCC3C(C[C@H](O)C4=CCCCC43C)C1CCC2=O,False,False
16639,CC12CCC3C(C[C@@H](O)C4=CCCCC34C)C1CCC2=O,50.0,IC50(nM),7.301029995663981,CC12CCC3C(C[C@@H](O)C4=CCCCC43C)C1CCC2=O,False,False
16652,CC12CCC3C(CCC4=CCCCC34C)C1CCC2=O,60.0,IC50(nM),7.221848749616356,CC12CCC3C(CCC4=CCCCC43C)C1CCC2=O,False,False
16654,C[C@]12CCC3C(CC=C4[C@H](O)CCC[C@]34C)C1CCC2=O,860.0,IC50(nM),6.0655015487564325,C[C@]12CCC[C@@H](O)C1=CCC1C2CC[C@]2(C)C(=O)CCC12,False,False
16656,C[C@]12CCC3C(CC=C4[C@H](O)CCC[C@]34CO)C1CCC2=O,6800.0,IC50(nM),5.167491087293763,C[C@]12CCC3C(CC=C4[C@H](O)CCC[C@@]43CO)C1CCC2=O,False,False
16658,C[C@]12CCC3C(CC=C4[C@@H](O)CCC[C@]34C)C1CCC2=O,280.0,IC50(nM),6.552841968657781,C[C@]12CCC[C@H](O)C1=CCC1C2CC[C@]2(C)C(=O)CCC12,False,False
16660,C[C@]12CCC3C(CC=C4[C@@H](O)CCC[C@]34CO)C1CCC2=O,31.0,IC50(nM),7.508638306165727,C[C@]12CCC3C(CC=C4[C@@H](O)CCC[C@@]43CO)C1CCC2=O,False,False
16663,C[C@]12CCC3C(C[C@H](O)C4=CCCC[C@]34C)C1CCC2=O,190.0,IC50(nM),6.721246399047171,C[C@]12CCCC=C1[C@@H](O)CC1C2CC[C@]2(C)C(=O)CCC12,False,False
16664,C[C@]12CCC3C(C[C@H](O)C4=CCCC[C@]34CO)C1CCC2=O,1400.0,IC50(nM),5.853871964321762,C[C@]12CCC3C(C[C@H](O)C4=CCCC[C@@]43CO)C1CCC2=O,False,False
16665,C[C@]12CCC3C(C[C@@H](O)C4=CCCC[C@]34C)C1CCC2=O,50.0,IC50(nM),7.301029995663981,C[C@]12CCCC=C1[C@H](O)CC1C2CC[C@]2(C)C(=O)CCC12,False,False
16666,C[C@]12CCC3C(C[C@@H](O)C4=CCCC[C@]34CO)C1CCC2=O,940.0,IC50(nM),6.026872146400302,C[C@]12CCC3C(C[C@@H](O)C4=CCCC[C@@]43CO)C1CCC2=O,False,False
