protein_name,target_id,source,n,n_test,pct_cliff,pct_cliff_test,n_cliff_test
μ-Opioid receptor,CHEMBL233,ChEMBL,4476,897,43.66,43.59,391
5-HT1A receptor,CHEMBL214,ChEMBL,4119,825,39.72,39.64,327
5-HT6 receptor,CHEMBL3371,ChEMBL,3406,684,38.4,38.45,263
5-HT7 receptor,,BindingDB,3052,612,36.57,36.6,224
ABL1,CHEMBL1862,ChEMBL,806,164,41.56,41.46,68
Acetylcholinesterase,,BindingDB,818,166,16.87,16.87,28
AKT1,CHEMBL4282,ChEMBL,222,46,22.97,23.91,11
AKT3,CHEMBL4816,ChEMBL,129,28,6.2,7.14,2
Aromatase,CHEMBL1978,ChEMBL,259,54,37.45,35.19,19
Bcl-2,,BindingDB,1471,296,60.91,60.81,180
c-Src,CHEMBL267,ChEMBL,487,99,27.31,27.27,27
Carbonic anhydrase 1,CHEMBL261,ChEMBL,6008,1205,39.3,39.25,473
Cathepsin B,CHEMBL4072,ChEMBL,547,112,25.41,25.0,28
CDK2,CHEMBL301,ChEMBL,571,117,21.19,22.22,26
CDK4,CHEMBL331,ChEMBL,74,16,35.14,37.5,6
CDK4/cyclin D1,CHEMBL1907601,ChEMBL,292,61,39.04,39.34,24
D2 dopamine receptor,CHEMBL217,ChEMBL,6189,1239,36.39,36.32,450
EGFR,CHEMBL203,ChEMBL,315,65,16.83,15.38,10
ERK2,CHEMBL4040,ChEMBL,259,53,14.67,13.21,7
FAK1,CHEMBL2695,ChEMBL,185,39,8.11,7.69,3
GSK-3β,CHEMBL262,ChEMBL,1099,221,19.02,19.0,42
JNK1,CHEMBL2276,ChEMBL,298,63,8.72,9.52,6
KIT,CHEMBL1936,ChEMBL,882,178,28.68,28.65,51
MDM2,CHEMBL5023,ChEMBL,575,118,44.52,44.07,52
MEK1,CHEMBL3587,ChEMBL,152,32,3.95,3.12,1
mTOR,CHEMBL2842,ChEMBL,449,92,41.65,41.3,38
Orexin receptor 2,CHEMBL4792,ChEMBL,1998,402,57.81,57.96,233
PAK4,CHEMBL4482,ChEMBL,381,78,15.49,15.38,12
PDE5,CHEMBL1827,ChEMBL,94,21,40.43,38.1,8
PKCα,CHEMBL299,ChEMBL,221,46,17.65,17.39,8
S6K1,CHEMBL4501,ChEMBL,377,77,12.73,12.99,10
Thrombin,CHEMBL204,ChEMBL,2754,552,39.72,39.67,219
VEGFR2,CHEMBL279,ChEMBL,960,193,18.96,19.17,37
