target,descriptor,model,rmse,cliff_rmse,n_cliff_test,delta_pct
5-HT7,ECFP,SVM,0.6669,0.7082,224,6.1859
AChE,ECFP,GBM,1.0336,1.0901,28,5.4634
Bcl-2,ECFP,SVM,0.6998,0.711,180,1.5998
CHEMBL1827,ECFP,SVM,0.8101,1.01,8,24.6782
CHEMBL1862,ECFP,SVM,0.7392,0.6884,68,-6.8648
CHEMBL1907601,ECFP,SVM,0.6288,0.7052,24,12.1555
CHEMBL1936,ECFP,RF,0.5358,0.6644,51,24.0111
CHEMBL1978,ECFP,GBM,0.8646,1.1387,19,31.7067
CHEMBL203,ECFP,RF,0.6875,0.799,10,16.2128
CHEMBL204,ECFP,SVM,0.6876,0.8281,219,20.4263
CHEMBL217,ECFP,SVM,0.5668,0.6432,450,13.496
CHEMBL2276,ECFP,RF,0.7667,1.0673,6,39.208
CHEMBL261,ECFP,SVM,0.6446,0.73,473,13.2375
CHEMBL262,ECFP,SVM,0.6424,0.7259,42,13.0061
CHEMBL267,PHYSCHEM,RF,0.6416,0.8261,27,28.7525
CHEMBL2695,PHYSCHEM,KNN,1.0182,1.0817,3,6.2347
CHEMBL279,ECFP,GBM,0.6906,0.7385,37,6.9357
CHEMBL2842,ECFP,SVM,0.5686,0.7217,38,26.937
CHEMBL299,ECFP,RF,0.8818,0.9151,8,3.7789
CHEMBL301,ECFP,SVM,0.6979,0.6705,26,-3.9202
CHEMBL331,ECFP,SVM,0.7043,0.8492,6,20.5759
CHEMBL3371,ECFP,SVM,0.6091,0.6433,263,5.6169
CHEMBL3587,ECFP,GBM,0.7306,1.269,1,73.6846
CHEMBL4040,ECFP,SVM,0.8212,1.024,7,24.6936
CHEMBL4072,ECFP,RF,0.8669,0.9637,28,11.1654
CHEMBL4282,ECFP,SVM,0.6554,0.74,11,12.916
CHEMBL4482,ECFP,SVM,0.6405,0.7397,12,15.4849
CHEMBL4501,WHIM,KNN,0.8277,0.7407,10,-10.5034
CHEMBL4792,ECFP,SVM,0.5854,0.6043,233,3.2326
CHEMBL4816,MACCS,GBM,0.7809,0.7695,2,-1.4502
CHEMBL5023,MACCS,SVM,0.8547,0.9723,52,13.7475
CHEMBL214,ECFP,SVM,0.6663,0.7242,327,8.6844
CHEMBL233,ECFP,SVM,0.6856,0.7322,391,6.8
