target,n_train,n_test,n_cliff_train,n_cliff_test,A_descriptor,A_model,A_test_rmse,A_test_cliff_rmse,B_descriptor,B_model,B_cv_cliff_rmse,B_test_rmse,B_test_cliff_rmse,same_combination,optimism_cliff_rmse,skipped_descriptors,n_combinations,A_delta,B_delta
5-HT7,2440,612,892,224,ECFP,SVM,0.6669072142655025,0.7081613690668489,ECFP,SVM,0.7359813377233965,0.6669072142655025,0.7081613690668489,True,0.0,,,6.185891218283136,6.185891218283136
AChE,652,166,110,28,ECFP,SVM,1.0737165819268872,1.0780095887479264,ECFP,GBM,1.133276700987074,1.033648203529568,1.09012023840048,False,0.0121106496525535,,,0.3998268158749078,5.46337087203157
Bcl-2,1175,296,716,180,ECFP,SVM,0.699782957399881,0.7109784167224249,ECFP,SVM,0.694098814095413,0.699782957399881,0.7109784167224249,True,0.0,,,1.5998473818427776,1.5998473818427776
CHEMBL1827,73,21,30,8,WHIM,RF,0.9853632479218104,0.8934497207147781,ECFP,SVM,0.569454847142824,0.8101074436696256,1.0100276110858992,False,0.1165778903711211,,,-9.327882626116141,24.678228669357118
CHEMBL1862,642,164,267,68,ECFP,RF,0.7019447749576181,0.6680150933786756,ECFP,SVM,0.734034912655575,0.7391721893268389,0.6884291942268324,False,0.0204141008481567,,,-4.833668229953147,-6.864840944059057
CHEMBL1907601,231,61,90,24,ECFP,SVM,0.6287989046728819,0.7052322783330459,ECFP,SVM,0.7151589384405446,0.6287989046728819,0.7052322783330459,True,0.0,,,12.155455916375475,12.155455916375475
CHEMBL1936,704,178,202,51,MACCS,KNN,0.5575149847763282,0.5982833824213233,ECFP,RF,0.641370627388118,0.5357628099970515,0.6644051917849698,False,0.0661218093636465,,,7.312520516619139,24.011069709864014
CHEMBL1978,205,54,78,19,PHYSCHEM,SVM,0.8857213165349412,1.0913069311479628,ECFP,GBM,0.7154435968169133,0.8646072654576318,1.1387455780867286,False,0.0474386469387657,,,23.211094819000145,31.70668621249637
CHEMBL203,250,65,43,10,ECFP,GBM,0.6157479419675254,0.730991031689073,ECFP,RF,0.7915814369040434,0.6875430968681668,0.7990134226595983,False,0.0680223909705253,,,18.715952075017338,16.21284924526053
CHEMBL204,2202,552,875,219,ECFP,SVM,0.6876172453641965,0.8280717891100291,ECFP,SVM,0.8479105831524706,0.6876172453641965,0.8280717891100291,True,0.0,,,20.42626834808961,20.42626834808961
CHEMBL217,4950,1239,1802,450,ECFP,SVM,0.5667501590765882,0.6432386248531986,ECFP,SVM,0.6827290946513498,0.5667501590765882,0.6432386248531986,True,0.0,,,13.495976057815993,13.495976057815993
CHEMBL2276,235,63,20,6,WHIM,KNN,0.8555395764498912,0.7706513914725011,ECFP,RF,0.6877954520823457,0.7666602101481418,1.0672519859123326,False,0.2966005944398315,,,-9.922180962058864,39.20795311734092
CHEMBL261,4803,1205,1888,473,ECFP,RF,0.6452774177155904,0.725823413516626,ECFP,SVM,0.7471712171669602,0.6446450349322503,0.7299798346680161,False,0.00415642115139,,,12.48238255201683,13.237486540904499
CHEMBL262,878,221,167,42,ECFP,RF,0.6221962666671667,0.6669177042194296,ECFP,SVM,0.7041232992227041,0.6423565337430313,0.7259018006546717,False,0.058984096435242,,,7.187673720997423,13.006058555179566
CHEMBL267,388,99,106,27,ECFP,KNN,0.6415149039794417,0.8184281339524941,PHYSCHEM,RF,0.7209710276308858,0.641615472955459,0.82609597022459,False,0.0076678362720958,,,27.577415407752078,28.752501310381856
CHEMBL2695,146,39,12,3,ECFP,KNN,1.3568935155715205,0.6965476819165775,PHYSCHEM,KNN,0.6455843888813548,1.0182137363107546,1.0816959806581232,False,0.3851482987415457,,,-48.66600260646148,6.2346678387369625
CHEMBL279,767,193,145,37,ECFP,RF,0.6409760714326466,0.6060063374940879,ECFP,GBM,0.8072705534157566,0.6906316269843178,0.7385316770978386,False,0.1325253396037506,,,-5.455700375896672,6.9356873102784355
CHEMBL2842,357,92,149,38,ECFP,SVM,0.5685688384170609,0.7217240968966326,ECFP,SVM,0.6323214892479915,0.5685688384170609,0.7217240968966326,True,0.0,,,26.936977219146893,26.936977219146893
CHEMBL299,175,46,31,8,PHYSCHEM,RF,0.9460268991509202,0.4527517582370636,ECFP,RF,0.91037757827739,0.8818237499175778,0.9151465776337572,False,0.4623948193966935,,,-52.14176693670992,3.778853508911951
CHEMBL301,454,117,95,26,WHIM,RF,0.7173926640055911,0.6152567401545798,ECFP,SVM,0.8063125937077071,0.6978894175150626,0.6705308514568059,False,0.0552741113022261,,,-14.237101795930174,-3.920186403695715
CHEMBL331,58,16,20,6,MACCS,GBM,0.612389793816867,0.5911038503058519,ECFP,SVM,0.7723773397031651,0.7043225902580922,0.8492436441317956,False,0.2581397938259437,,,-3.4758814934431417,20.5759485608148
CHEMBL3371,2722,684,1045,263,ECFP,SVM,0.6090818447319296,0.6432934143088282,ECFP,SVM,0.6779046616683003,0.6090818447319296,0.6432934143088282,True,0.0,,,5.616908445523591,5.616908445523591
CHEMBL3587,120,32,5,1,WHIM,SVM,0.6936769786954092,0.359766936686992,ECFP,GBM,0.6218771529402167,0.7306321152195573,1.2689952296790876,False,0.9092282929920956,,,-48.13624385177063,73.68456754706854
